Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Отдел сельского хозяйства и охраны окружающей среды администрации Миллеровского района,,Ростовская область,Миллеровский район,Нач.: Леонов Дмитрий Александрович,,,"(86385) 2-62-78, 2-80-70, 2-62-74","346130, г. Миллерово, Ленина, 6"
Отдел сельского хозяйства и охраны окружающей среды администрации Обливского района,,Ростовская область,Обливский район,Нач.: Лагутин Геннадий Васильевич,,,"(86396) 2-10-00, 2-17-07, 2-36-73","347140, ст. Обливская, Ленина, 54"
Отдел сельского хозяйства и охраны окружающей среды администрации Орловского района,,Ростовская область,Орловский район,Зам. главы администрации по с/х и охране окружающей среды: Еремеенко Геннадий Николаевич,mush@orlovsky.donpac.ru,,"(86375) 5-13-25, 3-14-16, 3-15-99","347512, п. Орловский, Пионерская, 75"
Отдел сельского хозяйства и охраны окружающей среды администрации Песчанокопского района,,Ростовская область,Песчанокопский район,Нач.: Быкадоров Михаил Васильевич,"otdel-selhoz273@donland.ru, selhoz273@donland.ru",,(86373) 9-13-98,"347572, с. Песчанокопское, Суворова, 4"
Отдел сельского хозяйства и охраны окружающей среды администрации Пролетарского района,,Ростовская область,Пролетарский район,Зам. главы администрации по вопросам с/х и охраны окружающей среды: Ольшанский Николай Николаевич,,,"(86374) 9-90-20, 9-90-03, 9-90-22","347540, г. Пролетарск, Пионерская, 120"
Отдел сельского хозяйства и охраны окружающей среды администрации Ремонтненского района,,Ростовская область,Ремонтненский район,Нач.: Семейкин Евгений Александрович,,,"(86379) 3-11-60, 3-11-47","347480, с. Ремонтное, Ленинская, 67"
Отдел сельского хозяйства и охраны окружающей среды администрации Родионово-Несветайского района,,Ростовская область,Родионово-Несветайский район,Нач.: Кучмеева Светлана Анатольевна,,,"(86340) 3-00-44, 3-09-40, 3-05-71","346580, сл. Родионово-Несветайская, Пушкинская, 34"
Отдел сельского хозяйства и охраны окружающей среды администрации Семикаракорского района,,Ростовская область,Семикаракорский район,Нач.: Хохлачев Александр Александрович,,,"(86356) 4-20-05, 4-17-57, 4-18-44","346630, г. Семикаракорск, Арабского, 18"
Отдел сельского хозяйства и охраны окружающей среды администрации Целинского района,,Ростовская область,Целинский район,Нач.: Дворцова Мария Викторовна,,,"(86371) 9-19-71, 9-14-87, 9-10-07","347760, п. Целина, Советская, 19"
Отдел сельского хозяйства и охраны окружающей среды администрации Шолоховского района,,Ростовская область,Шолоховский район,Нач.: Самойлов Александр Сергеевич,,,"(86353) 2-18-71, 2-12-96, 2-10-39","346270, ст. Вёшенская, Шолохова, 54"
Отдел сельского хозяйства и охраны окружающей среды Советского района,,Ростовская область,Советский район,Нач.: Наход Иван Степанович,,,"(86363) 2-34-49, 2-35-41","347180, ст. Советская, Советская, 21"
Отдел сельского хозяйства и природопользования администрации Мартыновского района,,Ростовская область,Мартыновский район,Нач.: Гунько Сергей Владимирович,sh@martadmin.ru,,"(86395) 2-17-07, 2-17-75, 2-19-80, 2-19-51, 2-10-65","346660, сл. Б. Мартыновка, Советская, 61"
Отдел сельского хозяйства и продовольствия администрации Морозовского района,,Ростовская область,Морозовский район,Нач.: Долмат Светлана Ивановна,,,"(86384) 5-01-13, (86384) 5-03-82, 5-02-06, 5-04-65","347210, г. Морозовск, Ленина, 204"
Отдел сельского хозяйства Усть-Донецкого района,,Ростовская область,Усть-Донецкий район,Нач.: Васько Сергей Владимирович,,,"(86351) 9-11-33, (86351) 9-14-56, 9-16-09","346550, п. Усть-Донецкий, Ленина, 18"
"Отдел сельского хозяйства, охраны окружающей среды и природных ресурсов Куйбышевского района",,Ростовская область,Куйбышевский район,Нач.: Дадукин Александр Сергеевич,,,"(86348) 3-11-86, 3-13-64, 3-13-64","346940, с. Куйбышево, Куйбышевская, 24"
"Отдел сельского хозяйства, охраны окружающей среды и природопользования администрации Мясниковского района",,Ростовская область,Мясниковский район,Нач.: Тер-Акопян Нерсес Мкрдичевич,mrushmr@mail.ru,,"(86349) 2-23-10, 2-21-80","346800, с. Чалтырь, 5-я Линия, 14 Б"
"Отдел сельского хозяйства, продовольствия и защиты окружающей среды администрации Белокалитвинского района",,Ростовская область,Белокалитвинский район,Нач.: Авдеенко Андрей Петрович,,,"(86383) 2-66-41, (86383) 2-22-08","347040, г. Белая Калитва, Чернышевского, 8"
Управление сельского хозяйства и продовольствия Аксайского района,,Ростовская область,Аксайский район,Нач.: Сивак Андрей Владимирович,upravlen@aksay.ru,,"(86350) 5-56-08, 5-55-23","346720, г. Аксай, Садовая, 2"
Управление сельского хозяйства Неклиновского района,,Ростовская область,Неклиновский район,Нач.: Дубина Андрей Николаевич,,,"(86347) 3-24-73, 2-09-92, 2-02-54, 2-06-72, 2-07-80","346830, с. Покровское, Парковый, 1"
Управление сельского хозяйства Сальского района,,Ростовская область,Сальский район,Нач.: Скорченко Юрий Павлович,,,"(86372) 5-12-36, 5-12-33, 5-12-37","347630, г. Сальск, Ленина, 22"
61_Азовский_КФХ 001,"зерновые, подсолнечник",Ростовская область,Азовский район,,,,8-989-712-3226,"346769, с. Орловка"
61_Азовский_КФХ 002,"зерновые, масличные",Ростовская область,Азовский район,,,,8-903-438-6033,"346758, х. Гусарева Балка"
61_Азовский_КФХ 003,"зерновые, масличные",Ростовская область,Азовский район,,,,8-928-753-1975,"346768, х. Григорьевка"
61_Азовский_КФХ 004,зерновые,Ростовская область,Азовский район,,,,8-928-130-6495,"346770, с. Кагальник"
61_Азовский_КФХ 005,"зерновые, подсолнечник",Ростовская область,Азовский район,,,,8-928-624-9839,"346767, с. Елизаветовка"
61_Азовский_КФХ 006,озимая пшеница,Ростовская область,Азовский район,,,,"(86342) 9-24-10, 9-24-91","346762, х. Харьковский"
61_Азовский_КФХ 007,зерновые,Ростовская область,Азовский район,,,,8-928-628-1026,"346767, с. Елизаветовка"
61_Азовский_КФХ 008,"зерновые, масличные",Ростовская область,Азовский район,,,,8-928-432-9918,"346767, с. Елизаветовка"
61_Азовский_КФХ 009,"озимая пшеница, подсолнечник; сахарная свекла, лук, морковь, редька",Ростовская область,Азовский район,,,,"8-928-134-2343, (86342) 3-59-01, 4-16-47","346780, г. Азов"
61_Азовский_КФХ 010,зерновые,Ростовская область,Азовский район,,,,8-928-755-5722,"346769, х. Марков"
61_Азовский_КФХ 011,"пшеница, ячмень, кукуруза, подсолнечник, горох, чечевица",Ростовская область,Азовский район,,,,8-928-102-9151,"346752, п. Каяльский"
61_Азовский_КФХ 012,"пшеница, ячмень, подсолнечник, суданка",Ростовская область,Азовский район,,,,8-904-344-5879,"346768, с. Отрадовка"
61_Азовский_КФХ 013,"зерновые, технические",Ростовская область,Азовский район,,,,8-904-345-1795,"346748, х. Новоалександровка"
61_Азовский_КФХ 014,"зерновые, технические",Ростовская область,Азовский район,,,,8-928-103-0701,"346760, с. Платоно-Петровка"
61_Азовский_КФХ 015,зерновые,Ростовская область,Азовский район,,,,8-928-602-3768,"346767, с. Елизаветовка"
61_Азовский_КФХ 016,"зерновые, технические, овощи (открытый грунт)",Ростовская область,Азовский район,,,,8-951-849-9809,"346771, с. Займо-Обрыв"
61_Азовский_КФХ 017,зерновые,Ростовская область,Азовский район,,,,8-988-551-2591,"346762, х. Харьковский"
61_Азовский_КФХ 018,"зерновые, технические",Ростовская область,Азовский район,,,,8-928-194-7409,"346760, с. Платоно-Петровка"
61_Азовский_КФХ 019,"зерновые, масличные",Ростовская область,Азовский район,,,,8-928-142-0286,"346769, с. Орловка"
61_Азовский_КФХ 020,"пшеница, ячмень, подсолнечник",Ростовская область,Азовский район,,,,8-951-840-8546,"346768, с. Отрадовка"
61_Азовский_КФХ 021,"зерновые, подсолнечник",Ростовская область,Азовский район,,,,8-928-128-1517,"346769, с. Орловка"
61_Азовский_КФХ 022,"зерновые, масличные",Ростовская область,Азовский район,,,,"(86342) 9-77-50, 8-952-608-3701","346768, с. Отрадовка"
61_Азовский_КФХ 023,"зерновые, масличные",Ростовская область,Азовский район,,,,8-951-490-1373,"346768, х. Григорьевка"
61_Азовский_КФХ 024,"зерновые, технические",Ростовская область,Азовский район,,,,8-928-107-1089,"346768, х. Сонино"
61_Азовский_КФХ 025,"пшеница, подсолнечник, ячмень, горох",Ростовская область,Азовский район,,,,"8-928-770-8807, 8-929-820-5660","346774, х. Юшкин"
61_Азовский_КФХ 026,"зерновые, масличные",Ростовская область,Азовский район,,,,"(86342) 9-55-09, 8-988-550-7126","346759, с. Новотроицкое"
61_Азовский_КФХ 027,"пшеница, подсолнечник",Ростовская область,Азовский район,,,,"(86342) 9-78-78, 8-951-525-0081","346768, х. Григорьевка"
61_Азовский_КФХ 028,"зерновые, технические",Ростовская область,Азовский район,,,,"8-951-527-9369, 8-988-991-2209","346769, с. Орловка"
61_Азовский_КФХ 029,"зерновые, подсолнечник",Ростовская область,Азовский район,,,,8-928-137-7771,"346767, с. Елизаветовка"
61_Азовский_КФХ 030,"зерновые, подсолнечник",Ростовская область,Азовский район,,,,8-906-429-1801,"346755, с. Новониколаевка"
61_Азовский_КФХ 031,"зерновые, технические",Ростовская область,Азовский район,,,,8-904-504-1264,"346748, х. Новоалександровка"
61_Азовский_КФХ 033,пшеница,Ростовская область,Азовский район,,,,8-918-519-6784,"346772, с. Круглое"
61_Азовский_КФХ 034,"пшеница, картофель",Ростовская область,Азовский район,,,,8-928-182-3334,"346744, с. Кулешовка"
61_Азовский_КФХ 035,"пшеница, подсолнечник",Ростовская область,Азовский район,,,,8-927-072-4249,"346765, с. Александровка"
61_Азовский_КФХ 036,"пшеница, подсолнечник",Ростовская область,Азовский район,,,,8-928-905-6554,"346771, с. Займо-Обрыв"
61_Аксайский_КФХ 001,КРС (молочный),Ростовская область,Аксайский район,,,,8-952-577-4409,"346710, х. Большой Лог"
61_Аксайский_КФХ 002,"зерновые, овощеводство (открытый грунт)",Ростовская область,Аксайский район,,,,8-961-418-8220,"346702, ст. Ольгинская"
61_Аксайский_КФХ 003,картофель,Ростовская область,Аксайский район,,,,8-928-608-5642,"346703, х. Ленина"
61_Аксайский_КФХ 004,"зерновые, технические",Ростовская область,Аксайский район,,,,8-928-912-9357,"346710, х. Большой Лог"
61_Аксайский_КФХ 005,"овощеводство (морковь, свекла, картофель)",Ростовская область,Аксайский район,,,,8-988-899-1186,"346704, п. Дивный"
61_Аксайский_КФХ 006,"пшеница, ячмень, кукуруза, подсолнечник",Ростовская область,Аксайский район,,,,"(86350) 5-85-71, (86350) 5-16-61","346720, г. Аксай"
61_Аксайский_КФХ 007,"зерновые, подсолнечник",Ростовская область,Аксайский район,,,,8-928-902-4632,"346818, ст. Мишкинская"
61_Аксайский_КФХ 008,"картофель, свекла, пастернак",Ростовская область,Аксайский район,,,,8-928-761-2971,"346703, х. Ленина"
61_Аксайский_КФХ 009,"зерновые, технические",Ростовская область,Аксайский район,,,,8-928-777-5600,"346713, ст. Грушевская"
61_Аксайский_КФХ 010,зерновые; картофель,Ростовская область,Аксайский район,,,,8-928-967-2336,"346702, ст. Ольгинская"
61_Аксайский_КФХ 011,пшеница,Ростовская область,Аксайский район,,,,8-928-189-2599,"346710, п. Янтарный"
61_Багаевский_КФХ 001,"зерновые, овощи (открытый грунт)",Ростовская область,Багаевский район,,,,8-928-616-0354,"346615, х. Федулов"
61_Багаевский_КФХ 002,"зерновые, масличные, зернобобовые",Ростовская область,Багаевский район,,,,8-919-890-5706,"346601, ст. Манычская"
61_Багаевский_КФХ 003,зерновые,Ростовская область,Багаевский район,,,,8-919-888-9891,"344000, г. Ростов-на-Дону"
61_Багаевский_КФХ 004,зерновые,Ростовская область,Багаевский район,,,,8-960-452-1531,"346605, х. Тузлуков"
61_Багаевский_КФХ 005,зерновые,Ростовская область,Багаевский район,,,,8-928-141-4711,"346602, х. Арапчин"
61_Багаевский_КФХ 006,зерновые,Ростовская область,Багаевский район,,,,8-928-155-5525,"346618, х. Верхнеянченков"
61_Багаевский_КФХ 007,зерновые,Ростовская область,Багаевский район,,,,8-928-214-7876,"346609, ст. Багаевская"
61_Багаевский_КФХ 008,"зерновые, подсолнечник",Ростовская область,Багаевский район,,,,8-928-607-2159,"346623, п. Привольный"
61_Багаевский_КФХ 009,зерновые,Ростовская область,Багаевский район,,,,8-928-610-5811,"347740, г. Зерноград"
61_Багаевский_КФХ 010,"зерновые, подсолнечник",Ростовская область,Багаевский район,,,,8-928-172-6921,"346612, х. Ажинов"
61_Багаевский_КФХ 011,зерновые,Ростовская область,Багаевский район,,,,8-928-126-062,"346610, ст. Багаевская"
61_Багаевский_КФХ 012,зерновые,Ростовская область,Багаевский район,,,,8-928-753-6044,"346605, п. Отрадный"
61_Багаевский_КФХ 013,"зерновые, масличные",Ростовская область,Багаевский район,,,,8-928-613-1860,"347739, п. Малый Лог"
61_Багаевский_КФХ 014,зерновые,Ростовская область,Багаевский район,,,,8-928-193-2356,"346605, п. Отрадный"
61_Багаевский_КФХ 015,овощи (открытый грунт),Ростовская область,Багаевский район,,,,8-928-270-5630,"346604, Багаевский р-н, п. Садовый"
61_Багаевский_КФХ 016,"зерновые, подсолнечник",Ростовская область,Багаевский район,,,,8-928-769-8497,"346605, п. Отрадный"
61_Багаевский_КФХ 017,"зерновые, подсолнечник",Ростовская область,Багаевский район,,,,8-928-195-2656,"346602, х. Арпачин"
61_Багаевский_КФХ 018,зерновые,Ростовская область,Багаевский район,,,,8-928-132-9375,"344000, г. Ростов-на-Дону"
61_Багаевский_КФХ 019,зерновые,Ростовская область,Багаевский район,,,,8-951-832-3255,"346603, х. Красный"
61_Багаевский_КФХ 020,пшеница,Ростовская область,Багаевский район,,,,8-928-270-0943,"346612, ст. Багаевская"
61_Белокалитвинский_КФХ 001,"пшеница, кукуруза",Ростовская область,Белокалитвинский район,,,,8-928-771-4200,"347033, х. Ильинка"
61_Белокалитвинский_КФХ 002,"зерновые, зернобобовые, масличные",Ростовская область,Белокалитвинский район,,,,8-918-515-7709,"347010, п. Коксовый"
61_Белокалитвинский_КФХ 003,"зерновые, масличные",Ростовская область,Белокалитвинский район,,,,8-928-141-4509,"347033, х. Ильинка"
61_Белокалитвинский_КФХ 004,зерновые,Ростовская область,Белокалитвинский район,,,,8-928-164-3045,"347033, х. Ильинка"
61_Белокалитвинский_КФХ 005,"пшеница, подсолнечник, овес",Ростовская область,Белокалитвинский район,,,,8-903-437-1815,"347002, ст. Краснодонецкая"
61_Белокалитвинский_КФХ 006,зерновые,Ростовская область,Белокалитвинский район,,,,"8-928-769-7194, 8-961-297-7694","347016, х. Дубовой"
61_Белокалитвинский_КФХ 007,"зерновые, пропашные",Ростовская область,Белокалитвинский район,,,,8-919-897-7212,"347010, п. Коксовый"
61_Белокалитвинский_КФХ 008,"пшеница, ячмень, подсолнечник, кукуруза, просо, горох",Ростовская область,Белокалитвинский район,,,,(86383) 7-22-22,"347000, п. Сосны"
61_Белокалитвинский_КФХ 009,зерновые,Ростовская область,Белокалитвинский район,,,,"8-928-150-5177, 8-928-164-8636","347030, с. Литвиновка"
61_Белокалитвинский_КФХ 010,пшеница; производство крупы (полба),Ростовская область,Белокалитвинский район,,,,8-928-145-7259,"347024, Белокалитвинский р-н, х. Ленина"
61_Белокалитвинский_КФХ 011,овцы,Ростовская область,Белокалитвинский район,,,,8-928-124-4327,"347030, с. Литвиновка"
61_Белокалитвинский_КФХ 012,"зерновые, технические",Ростовская область,Белокалитвинский район,,,,8-928-611-5935,"347006, х. Апанасовка"
61_Белокалитвинский_КФХ 013,"зерновые, технические",Ростовская область,Белокалитвинский район,,,,8-929-817-5177,"347006, х. Апанасовка"
61_Белокалитвинский_КФХ 014,"зерновые, технические",Ростовская область,Белокалитвинский район,,,,8-909-412-0606,"342020, х. Крутинский"
61_Белокалитвинский_КФХ 015,КРС (молочный),Ростовская область,Белокалитвинский район,,,,8-918-857-6118,"347010, п. Коксовый"
61_Белокалитвинский_КФХ 016,пшеница,Ростовская область,Белокалитвинский район,,,,8-989-705-7371,"347010, п. Коксовый"
61_Белокалитвинский_КФХ 018,"ячмень, пшеница, просо, кукуруза, подсолнечник",Ростовская область,Белокалитвинский район,,,,8-928-149-1071,"347033, х. Ильинка"
61_Белокалитвинский_КФХ 019,"зерновые, зернобобовые, масличные",Ростовская область,Белокалитвинский район,,,,8-928-144-3087,"347042, г. Белая Калитва"
61_Белокалитвинский_КФХ 020,КРС (мясной),Ростовская область,Белокалитвинский район,,,,8-961-302-8011,"347556, х. Николаевский 2-й"
61_Белокалитвинский_КФХ 021,"зерновые, масличные",Ростовская область,Белокалитвинский район,,,,8-960-458-1459,"347014, х. Чапаев"
61_Белокалитвинский_КФХ 022,"зерновые, масличные",Ростовская область,Белокалитвинский район,,,,"8-928-128-3530, 8-958-543-9695","347058, п. Мельничный"
61_Белокалитвинский_КФХ 023,зерновые,Ростовская область,Белокалитвинский район,,,,8-928-155-6738,"347032, х. Анновка"
61_Белокалитвинский_КФХ 024,"зерновые, технические",Ростовская область,Белокалитвинский район,,,,8-988-518-9909,"347006, х. Апанасовка"
61_Белокалитвинский_КФХ 025,"зерновые, технические",Ростовская область,Белокалитвинский район,,,,8-928-755-8505,"347030, с. Литвиновка"
61_Белокалитвинский_КФХ 026,"зерновые, масличные",Ростовская область,Белокалитвинский район,,,,8-928-157-0761,"347033, х. Ильинка"
61_Белокалитвинский_КФХ 027,пшеница,Ростовская область,Белокалитвинский район,,,,8-952-602-9402,"347004, х. Нижнесеребряковский"
61_Боковский_КФХ 001,"пшеница, ячмень, подсолнечник",Ростовская область,Боковский район,,,,8-960-459-3229,"346243, х. Верхнечирский"
61_Боковский_КФХ 002,"пшеница, подсолнечник",Ростовская область,Боковский район,,,,8-995-417-8677,"346254, х. Горбатов"
61_Боковский_КФХ 003,"пшеница, ячмень",Ростовская область,Боковский район,,,,8-928-600-8167,"346241, х.Грачев"
61_Боковский_КФХ 004,зерновые,Ростовская область,Боковский район,,,,8-928-133-5058,"346242, х. Большенаполовский"
61_Боковский_КФХ 005,"зерновые, технические",Ростовская область,Боковский район,,,,8-928-176-7459,"346256, ст. Краснокутская"
61_Боковский_КФХ 006,"пшеница, подсолнечник",Ростовская область,Боковский район,,,,8-904-433-1781,"346254, х. Горбатов"
61_Боковский_КФХ 007,"зерновые, просо, подсолнечник",Ростовская область,Боковский район,,,,8-928-173-6633,"346250, ст. Боковская"
61_Боковский_КФХ 008,"пшеница, подсолнечник, кукуруза, просо",Ростовская область,Боковский район,,,,8-989-612-2960,"346241, х. Грачёв"
61_Боковский_КФХ 009,"зерновые, масличные",Ростовская область,Боковский район,,,,8-928-115-2092,"346244, п. Яблоновский"
61_Боковский_КФХ 010,"зерновые, масличные",Ростовская область,Боковский район,,,,8-906-426-2700,"346240, ст. Каргинская"
61_Верхнедонской_КФХ 001,"пшеница, подсолнечник, кукуруза, просо",Ростовская область,Верхнедонской район,,,,"(86364) 3-12-09, 8-903-462-0835","346170, ст. Казанская"
61_Верхнедонской_КФХ 002,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,8-928-772-5676,"346186, х. Песковатская Лопатина"
61_Верхнедонской_КФХ 003,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,(86364) 4-46-12,"346173, х. Верхняковский"
61_Верхнедонской_КФХ 004,"зерновые, зернобобовые, масличные",Ростовская область,Верхнедонской район,,,,8-961-321-0030,"346160, ст. Мешковская"
61_Верхнедонской_КФХ 005,зерновые,Ростовская область,Верхнедонской район,,,,8-928-168-0907,"346183, х. Новониколаевский"
61_Верхнедонской_КФХ 006,зерновые,Ростовская область,Верхнедонской район,,,,8-938-119-0903,"346183, х. Парижский"
61_Верхнедонской_КФХ 007,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,"8-928-606-1252, 8-928-157-4514","346167, ст. Мигулинская"
61_Верхнедонской_КФХ 008,"зерновые, масличные",Ростовская область,Верхнедонской район,,,,8-928-194-3987,"346183, х. Новониколаевский"
61_Верхнедонской_КФХ 009,зерновые,Ростовская область,Верхнедонской район,,,,8-928-171-5826,"346183, х. Парижский"
61_Верхнедонской_КФХ 010,"зерновые, подсолнечник, кукуруза",Ростовская область,Верхнедонской район,,,,8-903-472-6320,"346166, х. Алексеевский"
61_Верхнедонской_КФХ 011,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,"(86364) 3-19-45, 8-909-429-7822","346170, ст. Казанская"
61_Верхнедонской_КФХ 012,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,8-928-614-5701,"346167, ст. Мигулинская"
61_Верхнедонской_КФХ 013,"зерновые, масличные",Ростовская область,Верхнедонской район,,,,8-928-954-3780,"346181, х. Казанская Лопатина"
61_Верхнедонской_КФХ 014,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,"8-928-128-5567, 8-928-162-8152","346182, ст. Шумилинская"
61_Верхнедонской_КФХ 015,"зерновые, масличные",Ростовская область,Верхнедонской район,,,,"(86364) 4-41-31, 8-906-428-2968","346160, ст. Мешковская"
61_Верхнедонской_КФХ 016,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,8-909-416-5529,"346180, х. Поповка"
61_Верхнедонской_КФХ 017,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,"(86364) 4-42-18, 8-905-426-7565","346163, х. Мещеряковский"
61_Верхнедонской_КФХ 018,зерновые,Ростовская область,Верхнедонской район,,,,8-908-503-5026,"346163, х. Мещеряковский"
61_Верхнедонской_КФХ 019,"зерновые, подсолнечник",Ростовская область,Верхнедонской район,,,,8-928-154-7853,"346184, х. Быковский"
