Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Администрация Кировского муниципального округа Ставропольского края,,Ставропольский край,Кировский район,Глава: Новопашин Николай Олегович,,,"(87938) 4-32-01, (87938) 5-17-90, 5-17-83","357300, г. Новопавловск, пл. Ленина, 1"
Администрация Кочубеевского муниципального округа Ставропольского края,,Ставропольский край,Кочубеевский район,Глава: Клевцов Алексей Павлович,akmr.org@mail.ru,,8-800-200-7546,"357000, с. Кочубеевское, Октябрьской революции, 64"
Администрация Красногвардейского муниципального округа Ставропольского края,,Ставропольский край,Красногвардейский район,Глава: Ишков Константин Алексеевич,,,"(86541) 2-52-32, 2-37-64","356030, с. Красногвардейское, Ленина, 46 А"
Администрация Курского муниципального округа Ставропольского края,,Ставропольский край,Курский район,Врио Главы: Бабичев Павел Васильевич,,,"(87964) 6-55-80, 6-51-93","357850, ст. Курская, пер. Школьный, 12"
Администрация Левокумского муниципального округа Ставропольского края,,Ставропольский край,Левокумский район,Глава: Иванов Андрей Николаевич,lev_admin@mail.ru,,"(86543) 3-15-11, 3-14-93","357960, с. Левокумское, Карла Маркса, 170"
Администрация Минераловодского муниципального округа Ставропольского края,,Ставропольский край,Минераловодский район,Глава: Гаранжа Максим Юрьевич,,,"(87922) 6-57-23, 6-44-33","357203, г. Минеральные Воды, Карла Маркса, 54"
Администрация Нефтекумского муниципального округа Ставропольского края,,Ставропольский край,Нефтекумский район,Глава: Сокуренко Дмитрий Николаевич,,,"(86558) 4-45-15, (86558) 3-35-15, 4-50-72","356880, г. Нефтекумск, пл. Ленина, 1"
Администрация Новоалександровского муниципального округа Ставропольского края,,Ставропольский край,Новоалександровский район,Глава: Колтунов Эдуард Александрович,,,"(86544) 6-31-47, 6-30-35","356000, г. Новоалександровск, Гагарина, 315"
Администрация Новоселицкого муниципального округа Ставропольского края,,Ставропольский край,Новоселицкий район,Глава: Брихачев Николай Васильевич,,"https://novoselickoe.ru/, https://novoselickoe.ru/","(86548) 2-12-63, 2-14-74","356350, с. Новоселицкое, пл. Ленина, 1"
Администрация Петровского муниципального округа Ставропольского края,,Ставропольский край,Петровский район,Глава: Конкина Наталья Викторовна,,,(86547) 4-11-95,"356530, г. Светлоград, пл. 50 лет Октября, 8"
Администрация Предгорного муниципального округа Ставропольского края,,Ставропольский край,Предгорный район,Глава: Бондаренко Нина Николаевна,,,(87961) 6-61-31,"357350, ст. Ессентукская, Набережная, 5"
Администрация Советского муниципального округа Ставропольского края,,Ставропольский край,Советский район,Глава: Гультяев Сергей Викторович,,,"(86552) 6-57-02, 6-19-86, 6-17-00","357910, г. Зеленокумск, Мира, 18"
Администрация Степновского муниципального округа Ставропольского края,,Ставропольский край,Степновский район,Глава: Лобанов Сергей Викторович,,,"(86563) 3-11-01, (86563) 3-14-61, 3-15-33","357930, с. Степное, пл. Ленина, 42"
Администрация Труновского муниципального округа Ставропольского края,,Ставропольский край,Труновский район,Глава: Аникеева Нина Ивановна,,,"(86546) 3-32-53, (86546) 3-35-60, 3-11-26","356170, с. Донское, Ленина, 5"
Администрация Туркменского муниципального округа Ставропольского края,,Ставропольский край,Туркменский район,Глава: Ефимов Геннадий Викторович,,,"(86565) 2-04-04, 2-05-01","356540, с. Летняя Ставка, Советская, 122"
Администрация Шпаковского муниципального района Ставропольского края,,Ставропольский край,Шпаковский район,Глава: Серов Игорь Владимирович,,,(86553) 6-30-12,"356240, г. Михайловск, Ленина, 113"
Ассоциация крестьянских (фермерских) хозяйств Александровского р-на,,Ставропольский край,Александровский район,Предс.: Синицкий Николай Георгиевич,,,8-962-003-6098,"356300, с. Александровское, К. Маркса, 9"
Ассоциация крестьянских (фермерских) хозяйств Апанасенковского р-на,,Ставропольский край,Апанасенковский район,Исп. дир.: Мацко Алексей Михайлович,,,(86555) 5-37-97,"356720, с. Дивное, Советская, 38"
Ассоциация крестьянских (фермерских) хозяйств Арзгирского района,,Ставропольский край,Арзгирский район,Предс.: Зайцев Александр Викторович,,,"8-905-497-7211, (86560) 3-14-35","356570, с. Арзгир, Базалеева, 6"
Ассоциация крестьянских (фермерских) хозяйств Благодарненского района,,Ставропольский край,Благодарненский район,Предс.: Марущак Ирина Петровна,marushak70@mail.ru,,8-906-412-7866,"356420, г. Благодарный, Ленина, 184"
Ассоциация крестьянских (фермерских) хозяйств Грачевского р-на,,Ставропольский край,Грачевский район,Исп. дир.: Нестеренко Александр Александрович,,,"8-918-883-8178, (86540) 4-14-31","356250, с. Грачевка, Ставропольская, 41"
Ассоциация крестьянских (фермерских) хозяйств Изобильненского р-на,,Ставропольский край,Изобильненский район,,,,(86545) 2-16-21,"356140, г. Изобильный, Красная, 8"
Ассоциация крестьянских (фермерских) хозяйств Кировского р-на,,Ставропольский край,Кировский район,Предс.: Мурашкин Михаил Владимирович,,,8-928-928-5043,"357300, г. Новопавловск, Садовая, 142"
Ассоциация крестьянских (фермерских) хозяйств Красногвардейского р-на,,Ставропольский край,Красногвардейский район,Предс.: Горяйнов Игорь Викторович,,,"8-903-418-8989, (86541) 4-53-09","356030, с. Красногвардейское, Ленина, 69"
Ассоциация крестьянских (фермерских) хозяйств Курского района,,Ставропольский край,Курский район,Предс.: Магарамов Магомед Абдурахманович,akfxkura2012@yandex.ru,,(87964) 6-30-56,"357850, ст. Курская, Гагарина, 6"
Ассоциация крестьянских (фермерских) хозяйств Левокумского р-на,,Ставропольский край,Левокумский район,Предс.: ,alla.koreiba@yandex.ru,,8-928-311-9151,"357960, с. Левокумское, Ленина, 124"
Ассоциация крестьянских (фермерских) хозяйств Новоалександровского р-на,,Ставропольский край,Новоалександровский район,Предс.: Подсеканов Валерий Алексеевич,voshodkfx@yandex.ru,,"8-909-768-1277, (86544) 6-28-49","356000, г. Новоалександровск, Гагарина, 313"
Ассоциация крестьянских (фермерских) хозяйств Петровского р-на,,Ставропольский край,Петровский район,Предс.: Магомедов Роберт Гамидович,,,"(86547) 4-41-40, 8-918-884-0481","356530, г. Светлоград, Площадь 50 лет Октября, 8"
Ассоциация крестьянских (фермерских) хозяйств Предгорного р-на,,Ставропольский край,Предгорный район,Предс.: Федирко Михаил Владимирович,,,"8-988-097-9083, 8-905-445-4510","356350, ст. Ессентукская, Набережная, 5"
Ассоциация крестьянских (фермерских) хозяйств Советского р-на,,Ставропольский край,Советский район,Предс.: Мартынович Светлана Викторовна,,,"8-906-492-1884, (86552) 6-12-91","357910, г. Зеленокумск, Мира, 8"
Ассоциация крестьянских (фермерских) хозяйств Степновского р-на,,Ставропольский край,Степновский район,Предс.: Любезных Евгений Сергеевич,,,"8-963-388-8001, (86563) 3-12-68","357930, с. Степное, пл. Ленина, 22"
Ассоциация крестьянских (фермерских) хозяйств Труновского р-на,,Ставропольский край,Труновский район,Исп. дир.: Гламаздин Василий Васильевич,,,"8-962-461-6535, (86546) 3-11-22","356170, с. Донское, Комарова, 6"
Ассоциация крестьянских (фермерских) хозяйств Туркменского р-на,,Ставропольский край,Туркменский район,Предс.: Ермоленко Максим Викторович,,,8-905-414-5846,"356540, с. Летняя Ставка, Советская, 122"
Ассоциация крестьянских (фермерских) хозяйств Шпаковского р-на,,Ставропольский край,Шпаковский район,Предс.: Петрова Надежда Зиновьевна,,,8-962-015-3820,"356245, г. Михайловск, Ленина, 98"
"Ассоциация крестьянских (фермерских) хозяйств, кооперативов и других малых производителей сельхозпродукции Ставропольского края",,Ставропольский край,Ставрополь г.,Исп. дир.: Гайнарова Светлана Михайловна,akkorsk26@mail.ru,,(8652) 26-32-86,"355000, г. Ставрополь, Мира, 337, к. 808"
Министерство сельского хозяйства Ставропольского края,,Ставропольский край,Ставрополь г.,,"info@mshsk.ru, stavvino@mail.ru","http://www.mshsk.ru/, http://www.stav-ikc.ru/","(8652) 24-01-02, 35-30-30, (8652) 35-15-53, 75-13-47, (8652) 35-52-00, 35-14-25, (8652) 75-13-83, (8652) 35-14-56, (8652) 35-28-15, (8652) 35-18-57, 26-50-95, (8652) 75-13-64, (8652) 26-09-97, 35-15-57, (8652) 35-34-43, 75-13-65, (8652) 75-13-50, (8652) 35-41-88, (8652) 35-14-20, 35-42-55, (8652) 75-13-36, (8652) 35-51-79, (8652) 35-47-13, 35-46-98, (8652) 35-15-54, (8652) 35-43-93, 35-44-42, (8652) 35-43-14, (8652) 35-81-40, 75-13-48, (8652) 35-14-54, (8652) 75-13-72, (8652) 35-17-39, 26-38-07, (8652) 24-94-19, 24-94-35, 24-94-25, (8652) 77-45-90, (8652) 35-30-90, 75-21-08, (8652) 75-21-02, (8652) 24-27-86","355000, г. Ставрополь, ул. Мира, 337"
Отдел сельского хозяйства и охраны окружающей среды администрации Александровского муниципального р-на СК,,Ставропольский край,Александровский район,,,,"(86557) 2-64-70, 2-18-53, 2-16-55, (86557) 2-12-54","356300 с. Александровское, К. Маркса, 9"
Отдел сельского хозяйства и охраны окружающей среды администрации Апанасенковского муниципального округа СК,,Ставропольский край,Апанасенковский район,Глава: Климов Денис Анатольевич,apanasst@rambler.ru,,"(86555) 5-14-01, 5-13-99, 5-14-14, 5-06-07","356720 с. Дивное, Советская, 19"
Отдел сельского хозяйства и охраны окружающей среды администрации Арзгирского муниципального р-на СК,,Ставропольский край,Арзгирский район,Нач.: Мовчан Александр Васильевич,arzgiragro@yandex.ru,,"(86560) 3-11-78, 3-13-76, 3-13-76, 3-16-61, 3-18-61","356570 с. Арзгир, Базалеева, 6"
Отдел сельского хозяйства и охраны окружающей среды администрации Изобильненского муниципального округа СК,,Ставропольский край,Изобильненский район,Нач.: Потехин Константин Иванович,izobselhoz@yandex.ru,,"(86545) 2-58-79, 2-22-90, (86545) 2-21-84, 2-22-70, 2-37-45","356140 г. Изобильный, Ленина, 15"
Отдел сельского хозяйства и охраны окружающей среды администрации Курского муниципального округа СК,,Ставропольский край,Курский район,Нач.: Сушко Сергей Николаевич,kurskagro2006@yandex.ru,,"(87964) 6-30-43, 6-33-99, 6-33-61","357850 ст. Курская, Гагарина, 6"
Отдел сельского хозяйства и охраны окружающей среды администрации Новоалександровского муниципального округа СК,,Ставропольский край,Новоалександровский район,Нач.: Токмакова Ольга Николаевна,,,"(86544) 6-24-55, 6-26-38","356000 г. Новоалександровск, Гагарина, 315"
Отдел сельского хозяйства и охраны окружающей среды администрации Новоселицкого муниципального округа СК,,Ставропольский край,Новоселицкий район,Нач.: Крисан Алексей Валентинович,,,"(86548) 3-00-33, (86548) 3-01-82","356350 с. Новоселицкое, Шоссейная, 45"
Отдел сельского хозяйства и охраны окружающей среды администрации Петровского муниципального округа СК,,Ставропольский край,Петровский район,Нач.: Островерхов Сергей Владимирович,,,(86547) 4-02-85,"356530 г. Светлоград, пл. 50 лет Октября, 8"
Отдел сельского хозяйства и охраны окружающей среды администрации Туркменского муниципального р-на СК,,Ставропольский край,Туркменский район,Нач.: Смирнов Александр Иванович,turkmen.otdelsh@mail.ru,,"(86565) 2-04-84, 2-01-85","356540, с. Летняя Ставка, Советская, 122"
"Отдел сельского хозяйства и охраны окружающей среды, ГО, ЧС, антитеррора администрации Ипатовского муниципального округа СК",,Ставропольский край,Ипатовский район,Нач.: Головинов Николай Сергеевич,oshipatovo@yandex.ru,,"(86542) 5-76-60, 5-74-80, 5-76-40, 5-66-58","356630 г. Ипатово, Ленинградская, 68 А"
Союз крестьянских (фермерских) хозяйств Минераловодского района,,Ставропольский край,Минераловодский район,Предс.: Конев Владимир Васильевич,,,"8-906-497-5353, (87922) 6-17-36","357200, г. Минеральные Воды, 50 лет Октября, 87 А, к. 25"
Управление сельского хозяйства и охраны окружающей среды администрации Благодарненского городского округа СК,,Ставропольский край,Благодарненский район,Нач.: Соколов Виктор Иванович,,,"(86549) 5-21-60, 5-19-80, 2-11-04, 2-19-34","356420 г. Благодарный, пер. Октябрьский, 15"
Управление сельского хозяйства и охраны окружающей среды администрации Грачевского муниципального р-на СК,,Ставропольский край,Грачевский район,Нач.: Зиборов Владимир Федорович,grachev-ush@yandex.ru,,"(86540) 4-02-89, (86540) 4-02-32, 4-01-51, 4-12-18","356250, с. Грачевка, Ставропольская, 44"
Управление сельского хозяйства администрации Буденновского муниципального р-на СК,,Ставропольский край,Буденновский район,Нач.: Онипко Николай Васильевич,usx.buden@yandex.ru,,"(86559) 7-42-09, 2-12-40, 7-42-08","356800 г. Буденновск, Пушкинская, 113"
Управление сельского хозяйства администрации Минераловодского городского округа СК,,Ставропольский край,Минераловодский район,Нач. упр.: Аленгоз Анна Геннадьевна,agroupr49@mail.ru,,"(87922) 6-13-28, 6-40-79, 6-12-92","357200 г. Минеральные Воды, 50 лет Октября, 87-а"
Управление сельского хозяйства администрации Нефтекумского муниципального округа СК,,Ставропольский край,Нефтекумский район,И.о. нач.: Голобурдин Юрий Алексеевич,selhoz_06@mail.ru,,"(86558) 4-51-55, 4-39-88, 4-51-41, 4-39-66","356880 г. Нефтекумск, Заводская, 3"
Управление сельского хозяйства администрации Предгорного муниципального округа СК,,Ставропольский край,Предгорный район,Нач. упр.: Горбань Сергей Сергеевич,selxoz26@mail.ru,,"(87961) 5-16-01, 5-23-76, 5-17-04, 5-10-78, 5-13-04","357350 ст. Ессентукская, Набережная, 5"
Управление сельского хозяйства и охраны окружающей среды администрации Андроповского муниципального р-на СК,,Ставропольский край,Андроповский район,Рук.: Бандилет Василий Григорьевич,kursavka1317@yandex.ru,,"(86556) 6-29-45, 6-29-62, 6-29-69","357070 с. Курсавка, Красная, 75"
Управление сельского хозяйства и охраны окружающей среды администрации Кировского городского округа СК,,Ставропольский край,Кировский район,Нач.: Подплетнев Сергей Александрович,ypravkirov@yandex.ru,,"(87938) 2-04-45, 2-31-81, 2-17-68, 2-00-18","357300 г. Новопавловск, Садовая, 142"
Управление сельского хозяйства и охраны окружающей среды администрации Кочубеевского муниципального р-на СК,,Ставропольский край,Кочубеевский район,Нач: Фоменко Александр Алексеевич,kochub-ush@mail.ru,,"(86550) 2-11-67, 2-05-20, 2-02-07","357000 с. Кочубеевское, Советская, 101"
Управление сельского хозяйства и охраны окружающей среды администрации Красногвардейского муниципального р-на СК,,Ставропольский край,Красногвардейский район,Рук.: Куликов Василий Иванович,,,"(86541) 2-43-43, 2-30-05, 2-64-72","356030 с. Красногвардейское, Ленина, 69"
Управление сельского хозяйства и охраны окружающей среды администрации Левокумского муниципального округа СК,,Ставропольский край,Левокумский район,Нач.: Воробьев Андрей Анатольевич,yprav-selxoz@mail.ru,,"(86543) 3-17-82, 3-16-78, 3-17-98, (86543) 3-20-84, 3-19-41","357960 с. Левокумское, К. Маркса, 146"
Управление сельского хозяйства и охраны окружающей среды администрации Советского муниципального округа СК,,Ставропольский край,Советский район,Нач.: Фомиченко Владимир Анатольевич,zelselhoz@yandex.ru,,"(86552) 6-23-39, 6-15-13, 6-10-74","357910, г. Зеленокумск, Мира, 8"
Управление сельского хозяйства и охраны окружающей среды администрации Степновского муниципального р-на СК,,Ставропольский край,Степновский район,Нач. упр.: Болотов Владимир Владимирович,,,"(86563) 3-12-57, 3-14-40, 3-15-62, 3-12-63, 3-12-73","357930, с. Степное, пл. Ленина, 22"
Управление сельского хозяйства и охраны окружающей среды администрации Труновского муниципального р-на СК,,Ставропольский край,Труновский район,Нач.: Никитенко Павел Михайлович,ushatmr@yandex.ru,,"(86546) 3-35-07, 3-39-58, 3-39-58, 3-35-02","356170, с. Донское, Ленина, 5"
Управление сельского хозяйства и охраны окружающей среды администрации Шпаковского муниципального р-на СК,,Ставропольский край,Шпаковский район,Нач.: Мартусенко Сергей Николаевич,psh@shmr.ru,,(86553) 6-12-15,"356240, г. Михайловск, Ленина, 98"
Управление сельского хозяйства и развития территорий администрации Георгиевского муниципального округа СК,,Ставропольский край,Георгиевский район,Нач.: Терников Александр Александрович,agro@georgievsk.stavregion.ru,,"(87951) 2-30-70, 2-56-54","357820, г. Георгиевск, пл. Победы, 1"
1-го Мая им. СПК колхоз,"пшеница, ячмень, овес, кукуруза, горох; КРС, свиньи, овцы",Ставропольский край,Новоселицкий район,Предс.: Георгиев Порис Васильевич,spk_kz_im.1maya@mail.ru,,"(86548) 3-00-35, 2-83-69, 2-83-47","356355, с. Журавское, Шоссейная, 6"
26_Александровский_КФХ 001,"пшеница, подсолнечник, кукуруза, лен, КРС (мясной)",Ставропольский край,Александровский район,Глава: Алферов Александр Васильевич,,,8-962-427-6339,"356316, с. Северное"
26_Александровский_КФХ 002,зерновые,Ставропольский край,Александровский район,Глава: Белокопытов Иван Иванович,,,8-903-442-5505,"356300, с. Александровское"
26_Александровский_КФХ 004,"зерновые, зернобобовые, технические",Ставропольский край,Александровский район,Глава: Богданов Павел Николаевич,,,"8-903-443-5963, 8-918-781-4998","356323, х. Всадник"
26_Александровский_КФХ 005,зерновые,Ставропольский край,Александровский район,Глава: Бутенко Владимир Юрьевич,,,8-909-752-0824,"356300, с. Александровское"
26_Александровский_КФХ 006,"зерновые, масличные, зернобобовые",Ставропольский край,Александровский район,Глава: Голубев Сергей Дмитриевич,,,8-961-470-8557,"356325, с. Калиновское"
26_Александровский_КФХ 007,"пшеница, подсолнечник, горох, лен",Ставропольский край,Александровский район,Глава: Дегтярёв Андрей Михайлович,,,8-905-412-4329,"356300, с. Александровское"
26_Александровский_КФХ 008,зерновые,Ставропольский край,Александровский район,Глава: Денисенко Владимир Сергеевич,,,8-905-497-2864,"356325, с. Калиновское"
26_Александровский_КФХ 009,зерновые,Ставропольский край,Александровский район,Глава: Дмитров Виталий Витальевич,,,8-903-415-4083,"356300, с. Александровское"
26_Александровский_КФХ 010,зерновые,Ставропольский край,Александровский район,Глава: Клевцов Дмитрий Владимирович,,,8-909-762-4419,"356325, с. Калиновское"
26_Александровский_КФХ 011,"зерновые, зернобобовые; услуги по уборке урожая комбайнами АКРОС; грузоперевозки КамАЗами, самосвалами",Ставропольский край,Александровский район,Клименко Александр Иванович,,,8-909-772-9711,"356300, Александровский р-н, с. Александровское"
26_Александровский_КФХ 012,"зерновые, масличные, зернобобовые",Ставропольский край,Александровский район,Глава: Конарев Иван Иванович,,,8-909-762-8294,"356322, с. Саблинское"
26_Александровский_КФХ 013,зерновые,Ставропольский край,Александровский район,Глава: Коновалов Алексей Иванович,,,8-906-489-2147,"356323, х. Всадник"
26_Александровский_КФХ 014,"зерновые, масличные",Ставропольский край,Александровский район,Глава: Коновалов Виктор Иванович,,,8-906-460-5401,"356323, х. Всадник"
26_Александровский_КФХ 015,"зерновые, кукуруза; услуги по уборке урожая; грузоперевозки",Ставропольский край,Александровский район,Глава: Кульбяков Василий Георгиевич,,,8-962-434-6414,"356312, Александровский р-н, с. Круглолесское"
26_Александровский_КФХ 016,зерновые,Ставропольский край,Александровский район,Глава: Леденёв Юрий Анатольевич,,,8-909-755-7915,"356312, с. Круглолесское"
26_Александровский_КФХ 018,"зерновые, зернобобовые",Ставропольский край,Александровский район,Глава: Новохацкий Александр Иванович,,,8-903-414-2924,"356300, с. Александровское"
26_Александровский_КФХ 019,зерновые,Ставропольский край,Александровский район,Глава: Ноздрин Юрий Валентинович,,,"8-962-404-8449, 8-962-404-0791","356300, с. Александровское"
26_Александровский_КФХ 020,"зерновые, технические",Ставропольский край,Александровский район,Глава: Пеньков Иван Васильевич,,,8-903-414-3002,"356300, с. Александровское"
26_Александровский_КФХ 021,малина,Ставропольский край,Александровский район,Глава: Семенихин Анатолий Анатольевич,,,8-963-381-5250,"356300, с. Александровское"
26_Александровский_КФХ 022,"пшеница, подсолнечник, ячмень, горох",Ставропольский край,Александровский район,Глава: Семёнов Геннадий Александрович,,,8-961-470-3472,"356325, с. Калиновское"
26_Александровский_КФХ 023,"зерновые, пропашные",Ставропольский край,Александровский район,Глава: Синицкий Николай Георгиевич,,,8-962-003-6098,"356300, с. Александровское"
26_Александровский_КФХ 024,"пшеница, подсолнечник, кукуруза, лен, горох",Ставропольский край,Александровский район,Глава: Сиушкин Евгений Александрович,,,8-903-416-7442,"356321, п. Новокавказский"
26_Александровский_КФХ 025,"зерновые, зернобобовые",Ставропольский край,Александровский район,Глава: Сиянко Сергей Андреевич,,,8-963-389-3182,"356300, Александровский р-н, х. Харьковский"
26_Александровский_КФХ 026,зерновые,Ставропольский край,Александровский район,Глава: Хлебников Виктор Иванович,,,8-928-817-8540,"356320, х. Средний"
26_Александровский_КФХ 027,"зерновые, кукуруза",Ставропольский край,Александровский район,Глава: Холопов Василий Тимофеевич,,,8-909-757-4341,"356321, х. Репьевая"
26_Александровский_КФХ 028,"пшеница, ячмень, кукуруза",Ставропольский край,Александровский район,Глава: Холопов Тимофей Ильич,,,8-905-415-6063,"356321, п. Новокавказский"
26_Александровский_КФХ 029,"оз. пшеница, рапс, подсолнечник; виноград",Ставропольский край,Александровский район,Глава: Часовской Николай Иванович,,,8-962-407-7784,"356326, Александровский р-н, с. Грушевское"
26_Александровский_КФХ 030,"пшеница, кукуруза, ячмень, подсолнечник",Ставропольский край,Александровский район,Глава: Шелтушев Владимир Николаевич,,,8-988-102-5141,"356300, с. Александровское"
26_Александровский_КФХ 031,"зерновые, масличные",Ставропольский край,Александровский район,Глава: Юрченко Екатерина Тимофеевна,,,"3563300, 8-962-443-5410, 8-988-761-3688","3563300, с. Александровское"
26_Александровский_КФХ 032,"зерновые, пропашные культуры",Ставропольский край,Александровский район,Глава: Николенко Николай Григорьевич,,,8-988-958-8915,"356300, х. Харьковский"
26_Александровский_КФХ 033,"зерновые, технические",Ставропольский край,Александровский район,Глава: Попков Михаил Яковлевич,,,8-919-748-4370,"356321, п. Новокавказский"
26_Андроповский_КФХ 001,овцы,Ставропольский край,Андроповский район,Глава: Адаков Гасанали Курбанбагандович,,,8-906-475-8320,"357072, с. Подгорное"
26_Андроповский_КФХ 003,"зерновые, подсолнечник",Ставропольский край,Андроповский район,Глава: Букреев Владимир Николаевич,,,8-906-489-9502,"357085, с. Крымгереевское"
26_Андроповский_КФХ 004,"КРС, лошади",Ставропольский край,Андроповский район,Глава: Бутенко Николай Иванович,,,8-906-493-9675,"357070, п. Новый Янкуль"
26_Андроповский_КФХ 005,озимая пшеница,Ставропольский край,Андроповский район,Глава: Водолазский Георгий Александрович,,,8-928-222-4437,"357074, с. Дубовая Балка"
26_Андроповский_КФХ 006,"зерновые, подсолнечник",Ставропольский край,Андроповский район,Глава: Воронин Виктор Николаевич,,,8-928-005-4673,"357085, с. Крымгиреевское"
26_Андроповский_КФХ 007,"пшеница, ячмень, подсолнечник, кукуруза",Ставропольский край,Андроповский район,Глава: Галуненко Михаил Георгиевич,,,"(86556) 5-62-12, 8-962-741-4797","357074, с. Водораздел"
26_Андроповский_КФХ 008,"зерновые, технические; КРС, лошади племенные (тракененская, английская чистокровная)",Ставропольский край,Андроповский район,Глава: Ганеева Елена Владимировна,,,8-903-440-7024,"357081, Андроповский р-н, ст. Воровсколесская"
26_Андроповский_КФХ 009,"зерновые; овцы, КРС (мясной)",Ставропольский край,Андроповский район,Глава: Гасбуллаев Али Магомедович,,,8-967-403-3444,"357083, п. Новый Янкуль"
26_Андроповский_КФХ 010,рыбоводство,Ставропольский край,Андроповский район,Глава: Гонтарь Дмитрий Николаевич,,,8-928-348-3514,"357070, Андроповский р-н, с. Курсавка"
26_Андроповский_КФХ 011,"пшеница, подсолнечник, кормовые культуры; услуги по уборке колосовых культур, подсолнечника, кукурузы, услуги по обработке почвы",Ставропольский край,Андроповский район,Глава: Данько Анатолий Алексеевич,,,8-962-024-4958,"357085, Андроповский р-н, с. Крымгиреевское"
26_Андроповский_КФХ 012,"зерновые, подсолнечник",Ставропольский край,Андроповский район,Глава: Демельханов Бадруди Адамович,,,8-961-447-4416,"357085, с. Крымгиреевское"
26_Андроповский_КФХ 013,"зерновые, подсолнечник",Ставропольский край,Андроповский район,Глава: Ермаков Сергей Николаевич,,,8-918-779-7704,"357082, с. Солуно-Дмитриевское"
26_Андроповский_КФХ 015,озимая пшеница,Ставропольский край,Андроповский район,Глава: Житный Андрей Александрович,,,8-903-445-9105,"357085, с. Крымгиреевское"
26_Андроповский_КФХ 017,овцы,Ставропольский край,Андроповский район,Глава: Инусилаев Хамид Магомедович,,,8-962-025-1776,"357083, п. Новый Янкуль"
26_Андроповский_КФХ 018,"зерновые, подсолнечник",Ставропольский край,Андроповский район,Глава: Казарин Александр Федорович,,,8-962-007-4354,"357085, с. Крымгиреевское"
26_Андроповский_КФХ 019,"зерновые, подсолнечник",Ставропольский край,Андроповский район,Глава: Котов Виталий Александрович,,,8-962-024-4977,"357085, с. Крымгиреевское"
26_Андроповский_КФХ 020,"зерновые, подсолнечник",Ставропольский край,Андроповский район,Глава: Красовская Светлана Николаевна,,,8-928-820-4890,"357074, с. Водораздел (земля в п. Каскадный)"
26_Андроповский_КФХ 021,зерновые,Ставропольский край,Андроповский район,Глава: Кузнецов Юрий Николаевич,,,8-988-731-4310,"357082, с. Солуно-Дмитриевское"
26_Андроповский_КФХ 022,зерновые; КРС,Ставропольский край,Андроповский район,Глава: Курбанова Заира Магомедовна,,,8-962-009-7044,"357072, с. Казинка"
26_Андроповский_КФХ 024,прудовое рыбоводство,Ставропольский край,Андроповский район,Лягушенко Сергей Николаевич,,,8-962-407-2645,"357085, Андроповский р-н, с. Крымгиреевское"
