Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
«Новая жизнь» ООО,"зерновые, технические; КРС, лошади; переработка молока, производство кумыса",Оренбургская область,Абдулинский район,Дир.: Гончаров Алексей Николаевич,val.goncharova2016@mail.ru,,8-932-542-0494,"461764, Абдулинский р-н, с. Петровка, Молодежная, 1"
«Рябинушка» ООО,зерновые,Оренбургская область,Абдулинский район,Дир.: Семашков Александр Михайлович,,,8-922-850-3572,"461750, с. Зерикла, Молодежная, 7"
«Спектр» ООО (Абдулинский р-н),"зерновые, технические; производство круп (пшеничная, гречка, горох, ячневая, пшено), корма для с/х животных",Оренбургская область,Абдулинский район,Дир.: Столяров Сергей Николаевич,spektr-05@yandex.ru,,"(35355) 2-30-18, 2-30-23","461743, Абдулинский р-н, г. Абдулино, Анищенко, 34 Б"
«Чистые пруды» КФХ,"КРС, овцы",Оренбургская область,Абдулинский район,,,,8-932-546-1920,"461742, г. Абдулино"
«КМЭЗ - Элеватор Абдулино» ООО,"хранение, складирование зерна",Оренбургская область,Абдулинский район,Дир.: Сибгатулин Рашид Гамирович,abdulinskiykhp@mail.ru,,"(35355) 2-36-48, (35355) 2-54-92","461742, Абдулинский р-н, г. Абдулино, Советская, 1, каб. 1"
«Спектр» ООО (Абдулинский р-н),"зерновые, технические; производство круп (пшеничная, гречка, горох, ячневая, пшено), корма для с/х животных",Оренбургская область,Абдулинский район,Дир.: Столяров Сергей Николаевич,spektr-05@yandex.ru,,"(35355) 2-30-18, 2-30-23","461743, Абдулинский р-н, г. Абдулино, Анищенко, 34 Б"
Администрация Адамовского района,,Оренбургская область,Адамовский район,Глава: Чехович Сергей Вячеславович,ad@mail.orb.ru,https://mo-ad.orb.ru/,"(35365) 2-13-38, (35365) 2-14-45, 2-14-44, 2-12-60","462830, Адамовский р-н, п. Адамовка, Советская, 81"
Управление сельского хозяйства Адамовского района,,Оренбургская область,Адамовский район,Нач.: Бертаев Каирбек Мергенбекович,"a, d_agro@mail.orb.ru",https://mo-ad.orb.ru/,"(35365) 2-27-17, (35365) 2-27-78","462830, Адамовский р-н, п. Адамовка, Советская, 81"
56_Адамовский_КФХ 001,зерновые,Оренбургская область,Адамовский район,,,,8-922-552-5168,"462830, с. Нижняя Кийма"
56_Адамовский_КФХ 002,пшеница,Оренбургская область,Адамовский район,,,,8-987-855-8877,"462836, п. Обильный"
56_Адамовский_КФХ 003,зерновые,Оренбургская область,Адамовский район,,,,8-922-540-5098,"462834, с. Аниховка"
56_Адамовский_КФХ 004,пшеница,Оренбургская область,Адамовский район,,,,8-929-282-4570,"462830, с. Нижняя Кийма"
56_Адамовский_КФХ 005,КРС (мясной),Оренбургская область,Адамовский район,,,,8-922-534-0110,"462821, п. Майский"
56_Адамовский_КФХ 006,"зерновые, КРС (мясной)",Оренбургская область,Адамовский район,,,,8-922-835-9080,"462834, п. Кусем"
56_Адамовский_КФХ 007,зерновые,Оренбургская область,Адамовский район,,,,"8-912-346-5729, 8-987-855-8877","462841, п. Жуламансай"
56_Адамовский_КФХ 008,"пшеница, КРС (мясной)",Оренбургская область,Адамовский район,,,,8-922-531-5485,"462830, п. Адамовка"
56_Адамовский_КФХ 009,зерновые,Оренбургская область,Адамовский район,,,,8-922-838-5769,"462830, п. Адамовка"
56_Адамовский_КФХ 010,зерновые,Оренбургская область,Адамовский район,,,,(35365) 2-03-88,"462830, п. Адамовка"
56_Адамовский_КФХ 011,зерновые,Оренбургская область,Адамовский район,,,,8-922-627-2438,"462830, с. Ивановка"
56_Адамовский_КФХ 012,зерновые; кони,Оренбургская область,Адамовский район,,,,8-919-846-6108,"462846, п. Совхозный"
56_Адамовский_КФХ 013,зерновые,Оренбургская область,Адамовский район,,,,8-912-359-9709,"462830, п. Адамовка"
56_Адамовский_КФХ 014,"зерновые, КРС (мясной)",Оренбургская область,Адамовский район,,,,8-912-321-0578,"462830, п. Адамовка"
56_Адамовский_КФХ 015,"зерновые; КРС, лошади",Оренбургская область,Адамовский район,,,,8-922-626-2836,"462821, п. Майский"
56_Адамовский_КФХ 016,зерновые,Оренбургская область,Адамовский район,,,,8-987-197-0429,"462841, п. Жуламансай"
56_Адамовский_КФХ 017,зерновые,Оренбургская область,Адамовский район,,,,8-922-848-9384,"462830, п. Адамовка"
56_Адамовский_КФХ 018,зерновые,Оренбургская область,Адамовский район,,,,8-922-880-9327,"462834, с. Аниховка"
56_Адамовский_КФХ 019,"ячмень, пшеница; КРС (молочный)",Оренбургская область,Адамовский район,,,,8-922-843-7620,"462830, п. Адамовка"
56_Адамовский_КФХ 020,"зерновые, КРС (мясной, молочный)",Оренбургская область,Адамовский район,,,,8-903-390-4989,"462830, п. Адамовка"
56_Адамовский_КФХ 021,"пшеница, ячмень",Оренбургская область,Адамовский район,,,,8-987-855-8877,"462840, п. Теренсай"
56_Адамовский_КФХ 022,зерновые,Оренбургская область,Адамовский район,,,,8-922-872-9131,"462835, п. Комсомольский"
56_Адамовский_КФХ 023,зерновые; грузоперевозки,Оренбургская область,Адамовский район,,,,8-922-876-8363,"462830, п. Адамовка"
56_Адамовский_КФХ 024,"зерновые, зернобобовые",Оренбургская область,Адамовский район,,,,8-987-786-2026,"462830, п. Адамовка"
56_Адамовский_КФХ 025,"пшеница, ячмень",Оренбургская область,Адамовский район,,,,8-922-830-8737,"462833, с. Каинсай"
56_Адамовский_КФХ 026,"пшеница, КРС, овцы, лошади",Оренбургская область,Адамовский район,,,,8-905-817-4655,"462830, п. Адамовка"
56_Адамовский_КФХ 027,зерновые,Оренбургская область,Адамовский район,,,,8-929-282-6252,"462833, с. Каинсай"
56_Адамовский_КФХ 028,КРС,Оренбургская область,Адамовский район,,,,8-922-545-7722,"462830, п. Адамовка"
56_Адамовский_КФХ 029,"зерновые, масличные",Оренбургская область,Адамовский район,,,,8-922-539-8386,"462821, п. Майский"
56_Адамовский_КФХ 030,зерновые,Оренбургская область,Адамовский район,,,,8-922-855-1856,"462835, п. Комсомольский"
56_Адамовский_КФХ 031,зерновые,Оренбургская область,Адамовский район,,,,"8-922-815-7206, 8-961-936-7592","462830, п. Адамовка"
56_Адамовский_КФХ 032,"ячмень, пшеница",Оренбургская область,Адамовский район,,,,8-922-812-3816,"462830, п. Адамовка"
56_Адамовский_КФХ 033,зерновые; КРС (мясной),Оренбургская область,Адамовский район,,,,8-922-872-5845,"462835, п. Джарабутак"
56_Адамовский_КФХ 034,"зерновые; КРС (мясной, молочный)",Оренбургская область,Адамовский район,,,,8-932-844-6858,"462836, п. Обильный"
56_Адамовский_КФХ 035,зерновые,Оренбургская область,Адамовский район,,,,8-961-905-9247,"462830, п. Адамовка"
56_Адамовский_КФХ 036,КРС (молочный),Оренбургская область,Адамовский район,,,,8-932-845-5892,"462820, п. Шильда"
56_Адамовский_КФХ 037,зерновые; КРС,Оренбургская область,Адамовский район,,,,8-922-875-3365,"462836, п. Обильный"
56_Адамовский_КФХ 038,зерновые,Оренбургская область,Адамовский район,,,,"(35365) 2-19-05, 8-919-849-4447","462830, п. Адамовка"
56_Адамовский_КФХ 039,"пшеница, ячмень, овес",Оренбургская область,Адамовский район,,,,8-932-844-7802,"462841, п. Юбилейный"
56_Адамовский_КФХ 040,"пшеница, ячмень",Оренбургская область,Адамовский район,,,,8-961-926-6588,"462840, п.Теренсай"
56_Адамовский_КФХ 041,КРС,Оренбургская область,Адамовский район,,,,8-961-901-6666,"462830, п. Адамовка"
56_Адамовский_КФХ 042,"зерновые, КРС",Оренбургская область,Адамовский район,,,,8-987-785-7619,"462821, п. Шильда"
56_Адамовский_КФХ 043,зерновые,Оренбургская область,Адамовский район,,,,8-922-871-6265,"462840, п. Теренсай"
56_Адамовский_КФХ 044,зерновые,Оренбургская область,Адамовский район,,,,8-922-852-9854,"462835, п. Комсомольский"
«Аниховский» СПК (колхоз),зерновые; племрепродуктор (казахская белоголовая),Оренбургская область,Адамовский район,Предс.: Сатмуханбетов Арман Джаныбекович,anihovka@rambler.ru,,"(35365) 2-70-92, (35365) 2-72-32","462834, Адамовский р-н, с. Аниховка, Ленина, 2"
«Брацлавское» ООО,"зерновые; КРС (мясной, молочный)",Оренбургская область,Адамовский район,Дир.: Довбыш Константин Николаевич,ak_kuduk@mail.ru,,"(35365) 2-90-88, 8-922-877-7948","462833, п. Брацлавка, Набережная, 15 А"
«Восток-Агро» ООО,"зерновые, масличные, зернобобовые",Оренбургская область,Адамовский район,Дир.: Гусев Георгий Михайлович,228292@bk.ru,,8-961-937-8292,"460014, г. Оренбург, пер. Шевченко, 6, 2 этаж, пом. 10"
«Комсомольский» СПК,"зерновые, масличные; КРС (мясной, молочный)",Оренбургская область,Адамовский район,Предс.: Крупенников Сергей Владимирович,spkkoms@mail.ru,,"(35365) 2-32-92, 2-33-41","462835, п. Комсомольский, Гагарина, 14"
«Майский» АО,"зерновые; КРС, лошади",Оренбургская область,Адамовский район,Дир.: Журавлев Степан Иванович,zaovostok1965@mail.ru,,"(35365) 2-80-92, 2-81-16","462821, п. Майский, Советская, 13"
МТС «Адамовская» ООО,"пшеница, ячмень",Оренбургская область,Адамовский район,Дир.: Айсенов Максат Серикович,asa-mts@mail.ru,,(35365) 2-16-78,"462830, п. Адамовка, Сельхозтехники, 1 А"
«Наше деревенское» СПСК,"закупка и реализация молока, мяса, производство полуфабрикатов",Оренбургская область,Адамовский район,Предс.: Туршинова Жиентай Ануарбековна,spsknd56@gmail.com,,(35365) 2-28-43,"462840, Адамовский р-н, п. Теренсай, Заречная, 5 А"
«Ника» СПК,"зерновые, масличные",Оренбургская область,Адамовский район,Предс.: Айсенов Серик Кенесович,ask-nika@mail.ru,,"(35365) 2-16-78, 8-919-854-4615","462830, п. Джусинск, Тулегенова, 3"
«Рассвет» СПК,зерновые,Оренбургская область,Адамовский район,Предс.: Дударев Алексей Михайлович,spk.rassvet2020@mail.ru,,(35365) 2-41-75,"462820, п. Шильда, Первомайская, 1 А"
«Шильдинское» АО,"зерновые, КРС",Оренбургская область,Адамовский район,Дир.: Алейников Сергей Николаевич,"shildzao@rambler.ru, shildinsk06@rambler.ru",,"(35365) 2-64-24, (35365) 2-64-30, (35365) 2-64-44, (35365) 2-64-69","462832, п. Совхозный, Мира, 1 А"
Эртель И.О. ИП,зерновые,Оренбургская область,Адамовский район,Глава: Эртель Иван Оттович,,,8-961-915-0607,"462821, п. Майский"
56_Адамовский_КФХ 023,зерновые; грузоперевозки,Оренбургская область,Адамовский район,,,,8-922-876-8363,"462830, п. Адамовка"
«Наше деревенское» СПСК,"закупка и реализация молока, мяса, производство полуфабрикатов",Оренбургская область,Адамовский район,Предс.: Туршинова Жиентай Ануарбековна,spsknd56@gmail.com,,(35365) 2-28-43,"462840, Адамовский р-н, п. Теренсай, Заречная, 5 А"
«Элеватор Теренсай» ООО,"хранение, складирование зерна",Оренбургская область,Адамовский район,Дир.: Сапельников Андрей Геннадьевич,elev_terzerno@mail.ru,,"(35365) 2-56-09, 2-55-69","462840, Адамовский р-н, п. Теренсай, Красноармейская, 2 А"
«Элеватор Шильда» ООО,хранение и складирование зерна,Оренбургская область,Адамовский район,Ген. дир.: Сысоев Владислав Александрович,elevator.shilda@bk.ru,,8-922-825-0311,"462820, Адамовский р-н, п. Шильда, Элеваторная, 1 А"
Администрация Акбулакского района,,Оренбургская область,Акбулакский район,Исп. полном. главы: Стойко Андрей Александрович,ak@mail.orb.ru,http://mo-ak.orb.ru/,"(35335) 2-11-40, 2-15-75","461550, Акбулакский р-н, п. Акбулак, Комсомольская, 15"
Управление сельского хозяйства Акбулакского района,,Оренбургская область,Акбулакский район,Нач.: Вязовик Сергей Владимирович,ak_agro@mail.orb.ru,http://mo-ak.orb.ru/,"(35335) 2-11-68, 2-25-63, 2-23-59","461550, Акбулакский р-н, п. Акбулак, Комсомольская, 15"
56_Акбулакский_КФХ 001,зерновые; КРС (мясной),Оренбургская область,Акбулакский район,,,,"8-909-613-9398, 8-906-843-4162","461566, с. Васильевка"
56_Акбулакский_КФХ 002,"зерновые, КРС",Оренбургская область,Акбулакский район,,,,8-922-536-0040,"461564, с. Шаповалово"
56_Акбулакский_КФХ 003,КРС,Оренбургская область,Акбулакский район,,,,8-905-891-4390,"461560, с. Ногумановка"
56_Акбулакский_КФХ 004,зерновые; КРС,Оренбургская область,Акбулакский район,,,,8-987-873-6490,"461572, п. Александровка"
56_Акбулакский_КФХ 005,зерновые; КРС,Оренбургская область,Акбулакский район,,,,8-987-861-3893,"461551, п. Акбулак"
56_Акбулакский_КФХ 006,"зерновые, КРС (мясной, молочный)",Оренбургская область,Акбулакский район,,,,8-932-530-7710,"461551, п. Акбулак"
56_Акбулакский_КФХ 007,"зерновые, масличные, КРС (мясной)",Оренбургская область,Акбулакский район,,,,8-903-393-0900,"461550, п. Акбулак"
56_Акбулакский_КФХ 008,зерновые; КРС (мясной),Оренбургская область,Акбулакский район,,,,8-932-546-9934,"461574, п. Каракудук"
56_Акбулакский_КФХ 009,"зерновые, КРС (мясной, молочный)",Оренбургская область,Акбулакский район,,,,"8-906-842-7640, 8-901-081-9348","461570, п. Акоба"
56_Акбулакский_КФХ 010,"зерновые, зернобобовые; КРС",Оренбургская область,Акбулакский район,,,,8-919-843-9947,"461555, с. Карасай"
56_Акбулакский_КФХ 011,зерновые; бахчевые культуры,Оренбургская область,Акбулакский район,,,,8-905-891-2605,"461550, Акбулакский р-н, п. Акбулак"
56_Акбулакский_КФХ 012,"КРС, овцы",Оренбургская область,Акбулакский район,,,,8-922-888-5100,"461551, п. Акбулак"
56_Акбулакский_КФХ 013,"зерновые, КРС",Оренбургская область,Акбулакский район,,,,8-905-814-8157,"461551, п. Бикмурзино"
56_Акбулакский_КФХ 014,зерновые,Оренбургская область,Акбулакский район,,,,8-922-552-3052,"461576, п. Новопривольный"
56_Акбулакский_КФХ 015,"зерновые, технические; КРС, лошади, бараны",Оренбургская область,Акбулакский район,,,,8-932-554-2544,"461563, п. Шкуновка"
56_Акбулакский_КФХ 016,"зерновые; КРС, свиньи",Оренбургская область,Акбулакский район,,,,8-905-880-4050,"460529, п. Пугачевский"
56_Акбулакский_КФХ 017,КРС,Оренбургская область,Акбулакский район,,,,8-922-628-7449,"461551, разъезд 29-й км"
56_Акбулакский_КФХ 018,"зерновые, КРС",Оренбургская область,Акбулакский район,,,,8-903-398-9128,"461551, п. Акбулак"
56_Акбулакский_КФХ 019,"зерновые, технические; КРС (мясной, молочный)",Оренбургская область,Акбулакский район,,,,8-922-552-2721,"461576, п. Кайракты"
56_Акбулакский_КФХ 020,зерновые,Оренбургская область,Акбулакский район,,,,8-961-903-9055,"461550, п. Кызылбулак"
56_Акбулакский_КФХ 021,зерновые; КРС (молочный),Оренбургская область,Акбулакский район,,,,8-922-551-4323,"461570, п. Сагарчин"
56_Акбулакский_КФХ 022,"зерновые; овощи (огурцы, помидоры)",Оренбургская область,Акбулакский район,,,,8-909-612-9994,"461551, Акбулакский р-н, п. Акбулак"
56_Акбулакский_КФХ 023,"зерновые, масличные",Оренбургская область,Акбулакский район,,,,8-905-891-0747,"461561, с. Новопавловка"
56_Акбулакский_КФХ 024,зерновые; КРС,Оренбургская область,Акбулакский район,,,,8-987-863-0225,"461572, с. Федоровка"
56_Акбулакский_КФХ 025,"КРС, овцы, козы",Оренбургская область,Акбулакский район,,,,"8-932-556-9395, (35335) 4-12-62","461570, п. Корниловка"
56_Акбулакский_КФХ 026,КРС (мясной),Оренбургская область,Акбулакский район,,,,8-922-843-4379,"461571, с. Советское"
56_Акбулакский_КФХ 027,"зерновые, КРС (мясной)",Оренбургская область,Акбулакский район,,,,8-961-900-4834,"461566,с. Майдан"
56_Акбулакский_КФХ 028,"зерновые, КРС",Оренбургская область,Акбулакский район,,,,8-922-555-4708,"461576, п. Кайракты"
56_Акбулакский_КФХ 029,"зерновые, КРС, овцы",Оренбургская область,Акбулакский район,,,,8-919-863-4942,"461571, с. Кокчунак"
56_Акбулакский_КФХ 030,сено,Оренбургская область,Акбулакский район,,,,8-903-394-3119,"461562, п. Новоуспеновка"
56_Акбулакский_КФХ 031,овощи (открытый грунт),Оренбургская область,Акбулакский район,,,,8-922-870-0215,"461551, Акбулакский р-н, п. Акбулак"
«Авангард» ООО (Акбулакский р-н),"зерновые, КРС",Оренбургская область,Акбулакский район,Ген. дир.: Асылханов Абоиезит Омарович,spk.avangard@list.ru,,"8-961-933-3200, 8-922-809-8987","461561, с. Новопавловка, Школьный, 8"
«Колхоз им. Димитрова» СПК (Акбулакский р-н),"зерновые; КРС (мясной, молочный)",Оренбургская область,Акбулакский район,Предс.: Дускенов Бахытжан Хазбулатович,spk_kolhoz2005@mail.ru,,(35335) 3-31-10,"461575, с. Новогригорьевка, пер. Площадный, 4"
«Салтанат» КФХ,зерновые; КРС (мясной),Оренбургская область,Акбулакский район,,,,"8-909-606-0562, 8-987-874-4704","461566, п. Майдан"
«Южный» ООО (Акбулакский р-н),зерновые; КРС,Оренбургская область,Акбулакский район,Дир.: Сатуалдыпов Серик Тулумбаевич,esen6969@mail.ru,,"8-999-106-2278, (35335) 4-41-30","461563, с. Шкуновка, Центральная, 6"
«Хлебная база № 63» АО,"хранение, складирование зерна",Оренбургская область,Акбулакский район,Ген. дир.: Бакеев Ермек Жоламанович,hb63_info@mail.ru,,"(35335) 2-16-86, (35335) 2-14-12, (35335) 2-15-03","юр. адрес: 461550, Акбулакский р-н, п. Акбулак, Кирова, 1"
Администрация Александровского района,,Оренбургская область,Александровский район,Глава: Гринев Сергей Николаевич,al@mail.orb.ru,http://www.aleksandrovka56.ru/,"(35359) 2-10-91, 2-11-02","461830, Александровский р-н, с. Александровка, Мичурина, 49"
Управление сельского хозяйства Александровского района,,Оренбургская область,Александровский район,И.о. нач.: Бобков Виталий Витальевич,al_agro@mail.orb.ru,http://www.aleksandrovka56.ru/,"(35359) 2-15-95, 2-20-20, 2-12-54","461830, Александровский р-н, с. Александровка, Мичурина, 49"
56_Александровский_КФХ 001,зерновые,Оренбургская область,Александровский район,,,,8-922-853-9447,"461832, с. Каяпкулово"
56_Александровский_КФХ 002,зерновые,Оренбургская область,Александровский район,,,,8-922-544-3216,"460521, с. Каменноозерное"
56_Александровский_КФХ 003,зерновые,Оренбургская область,Александровский район,,,,8-987-798-1090,"461850, с. Исянгильдино"
56_Александровский_КФХ 004,"зерновые, зернобобовые",Оренбургская область,Александровский район,,,,8-922-885-3026,"461850, с. Актыново"
56_Александровский_КФХ 005,"зерновые; мука пшеничная; услуги по обработке почвы, уборке урожая комбайнами",Оренбургская область,Александровский район,,,,8-912-341-0017,"461842, Александровский р-н, с. Яфарово"
56_Александровский_КФХ 006,"зерновые, масличные",Оренбургская область,Александровский район,,,,8-922-878-8987,"461834, с. Хортица"
56_Александровский_КФХ 007,"зерновые, масличные; КРС, овцы",Оренбургская область,Александровский район,,,,8-986-773-0515,"461852, п. Марксовский"
56_Александровский_КФХ 008,"зерновые, масличные; КРС, овцы",Оренбургская область,Александровский район,,,,8-922-622-6422,"461856, с. Ждановка"
56_Александровский_КФХ 009,зерновые,Оренбургская область,Александровский район,,,,8-922-876-7623,"461850, с. Новомихайловка"
56_Александровский_КФХ 010,зерновые,Оренбургская область,Александровский район,,,,8-922-807-0012,"461850, с. Исянгильдино"
56_Александровский_КФХ 011,КРС (молочный),Оренбургская область,Александровский район,,,,8-922-868-7371,"461852, п. Дмитриевка"
56_Александровский_КФХ 012,КРС (мясной),Оренбургская область,Александровский район,,,,8-922-881-1333,"461834, с. Хортица"
56_Александровский_КФХ 013,зерновые,Оренбургская область,Александровский район,,,,8-912-841-6304,"461830, с. Новодмитриевка"
56_Александровский_КФХ 014,"зерновые, КРС (мясной)",Оренбургская область,Александровский район,,,,8-922-866-0517,"461852, с. Дмитриевка"
56_Александровский_КФХ 015,зерновые,Оренбургская область,Александровский район,,,,8-905-886-7994,"461840, с. Султакай"
56_Александровский_КФХ 016,КРС (мясной),Оренбургская область,Александровский район,,,,8-903-392-0047,"461830, с. Александровка"
56_Александровский_КФХ 017,зерновые,Оренбургская область,Александровский район,,,,8-922-863-5386,"461841, с. Кутучево"
56_Александровский_КФХ 018,КРС (молочный),Оренбургская область,Александровский район,,,,8-922-537-8460,"461834, п. Шар"
56_Александровский_КФХ 019,зерновые,Оренбургская область,Александровский район,,,,8-932-545-4080,"461834, с. Озерка"
56_Александровский_КФХ 020,"зерновые, КРС (мясной, молочный); овощи (откр. грунт)",Оренбургская область,Александровский район,,,,8-922-868-3060,"461841, Александровский р-н, с. Канчирово"
56_Александровский_КФХ 021,"зерновые, КРС (мясной, молочный)",Оренбургская область,Александровский район,,,,8-919-841-2009,"461839, п. Северный"
56_Александровский_КФХ 022,"КРС (мясной, молочный)",Оренбургская область,Александровский район,,,,8-919-850-6226,"461830, с. Александровка"
56_Александровский_КФХ 023,"овощи (открытый, закрытый грунт)",Оренбургская область,Александровский район,,,,8-912-356-0664,"461830, с. Александровка"
56_Александровский_КФХ 024,"зерновые, масличные",Оренбургская область,Александровский район,,,,8-922-880-0180,"461848, с. Петровка"
56_Александровский_КФХ 025,"овцеводство, КРС (герефорды)",Оренбургская область,Александровский район,,,,8-922-803-6315,"461832, с. Курпячево"
56_Александровский_КФХ 026,зерновые,Оренбургская область,Александровский район,,,,8-922-896-2867,"461832, с. Курпячево"
56_Александровский_КФХ 027,зерновые,Оренбургская область,Александровский район,,,,8-987-864-0330,"461839, с. Гавриловка"
56_Александровский_КФХ 028,зерновые; картофель,Оренбургская область,Александровский район,,,,8-919-868-3699,"461841, п. Якут"
56_Александровский_КФХ 029,"КРС (мясной, молочный)",Оренбургская область,Александровский район,,,,8-922-850-4842,"461852, п. Марксовский"
56_Александровский_КФХ 030,зерновые,Оренбургская область,Александровский район,,,,8-922-545-0775,"461216, п. Среднеуранский"
56_Александровский_КФХ 031,КРС (мясной),Оренбургская область,Александровский район,,,,8-922-857-9294,"461852, п. Марксовский"
56_Александровский_КФХ 032,зерновые,Оренбургская область,Александровский район,,,,8-922-539-3490,"461850, с. Исянгильдино"
56_Александровский_КФХ 033,"зерновые, масличные",Оренбургская область,Александровский район,,,,8-922-556-3966,"461840, с. Султакай"
56_Александровский_КФХ 034,"зерновые, КРС (мясной, молочный)",Оренбургская область,Александровский район,,,,"8-922-850-0910, 8-953-451-8301","461850, с. Новомихайловка"
56_Александровский_КФХ 035,зерновые,Оренбургская область,Александровский район,,,,8-906-842-0115,"461830, с. Александровка"
56_Александровский_КФХ 036,гуси,Оренбургская область,Александровский район,,,,8-987-347-2928,"461842, Александровский р-н, с. Яфарово"
56_Александровский_КФХ 037,зерновые,Оренбургская область,Александровский район,,,,8-922-829-2117,"461830, с. Александровка"
56_Александровский_КФХ 038,зерновые,Оренбургская область,Александровский район,,,,8-922-866-0856,"461852, п. Самарский"
56_Александровский_КФХ 039,зерновые; КРС,Оренбургская область,Александровский район,,,,8-987-855-3727,"461846, с. Тукай"
56_Александровский_КФХ 040,КРС (мясной) - герефордская,Оренбургская область,Александровский район,,,,8-986-787-0527,"461842, п. Комсомольский"
56_Александровский_КФХ 041,зерновые,Оренбургская область,Александровский район,,,,8-922-623-8715,"461853, с. Каменка"
56_Александровский_КФХ 042,"зерновые, подсолнечник",Оренбургская область,Александровский район,,,,8-912-350-0073,"461842, с. Яфарово"
