Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
«Номад» ООО,садоводство,Тульская область,Алексинский район,Ген. дир.: Шкляр Александр Григорьевич,71nomad@mail.ru,,8-967-201-5932,"301361, г. Алексин, Ленина, 1 Б, офис 302"
«РП Приокское» ООО,"рыбоводство пресноводное осетровых пород, икра",Тульская область,Алексинский район,Дир.: Машкин Сергей Викторович,info@priokskoe.com,,(495) 565-33-14,"301361, г. Алексин, Тургенева, 42"
«Хамсин Грасс» ООО,люцерна,Тульская область,Алексинский район,Ген. дир.: Иванов Борис Васильевич,,,8-903-675-7623,"301361, г. Алексин, Ленина, 1 Б, офис 303"
«Чёрный Хлеб» ООО / «Чёрный Хлеб Ритейл» ООО,"пшеница, гречиха, просо; крупы (манная, пшеничная, ржаная и др.), мука (пшеничная, гречневая, овсяная)",Тульская область,Алексинский район,Ген. дир.: Абрамов Павел Сергеевич,info@hlebio.ru,https://hlebio.ru/,"8-906-769-9020, 8-800-600-7218","301347, Алексинский р-н, д. Хатманово, Зеленая, 1"
«Алексинский Питомник «Гавриш» ООО,"декоративные кустарники, лиственные деревья, хвойные растения, плодовые культуры",Тульская область,Алексинский район,Ген. дир.: Образцов Григорий Николаевич,info@pitomnikgavrish.ru,"http://pitomniki-gavrish.ru/, http://pitomniki-gavrish.ru/",(48753) 2-19-51,"301360, Алексинский р-н, д. Ботня, Центральная, 2"
Администрация Муниципального Образования Арсеньевский район,,Тульская область,Арсеньевский район,Глава: Макаров Игорь Николаевич,ased_mo_arsenevo@tularegion.ru,"https://arsenevo.gosuslugi.ru/, https://arsenevo.gosuslugi.ru/, https://arsenevo.gosuslugi.ru/",(487) 332-14-70,"301510, р.п. Арсеньево, Папанина, 6"
"Отдел экономического развития, предпринимательства и с/х администрации МО Арсеньевский район",,Тульская область,Арсеньевский район,Нач.: Юдина Татьяна Александровна,Tatyana.Yudina3@tularegion.org,https://arsenevskij-r71.gosweb.gosuslugi.ru/ofitsialno/struktura-munitsipalnogo-obrazovaniya/administratsiya-munitsipalnogo-obrazovaniya/strukturnye-podrazdeleniya/otdel-ekonomicheskogo-razvitiya-predprinimatelstva-i-sh/,(48733) 2-11-15,"301510, р.п. Арсеньево, Советская, 3"
71_Арсеньевский_КФХ 001,"пшеница, горох",Тульская область,Арсеньевский район,,,,8-910-163-6642,"301519, с. Кузьменки"
71_Арсеньевский_КФХ 002,"зерновые, масличные",Тульская область,Арсеньевский район,,,,8-903-036-4060,"301616, с. Араны"
71_Арсеньевский_КФХ 003,"пшеница, гречиха, рапс, горох",Тульская область,Арсеньевский район,,,,8-926-277-4456,"301510, д. Рахлеево"
71_Арсеньевский_КФХ 004,"пшеница, кормовые культуры",Тульская область,Арсеньевский район,,,,8-962-279-1084,"301510, д. Рахлеево"
71_Арсеньевский_КФХ 005,"пшеница, ячмень, овес",Тульская область,Арсеньевский район,,,,"8-905-117-4812, 8-906-623-2332","301510, д. Прилепы"
71_Арсеньевский_КФХ 006,"пшеница, ячмень",Тульская область,Арсеньевский район,,,,8-903-039-5150,"301500, д. Часовня"
71_Арсеньевский_КФХ 007,"пшеница, овес",Тульская область,Арсеньевский район,,,,8-906-627-1117,"301500, п. Первомайский"
71_Арсеньевский_КФХ 008,пшеница,Тульская область,Арсеньевский район,,,,8-906-532-4999,"301510, д. Астапово"
71_Арсеньевский_КФХ 009,"пшеница, гречиха",Тульская область,Арсеньевский район,,,,8-906-622-8879,"301510, с. Красное"
71_Арсеньевский_КФХ 010,садоводство (яблоки); пюре яблочное,Тульская область,Арсеньевский район,,,,8-963-228-4105,"301505, пгт. Славный"
71_Арсеньевский_КФХ 011,"пшеница, гречиха, горох",Тульская область,Арсеньевский район,,,,8-960-598-9413,"301500, п. Октябрьский"
71_Арсеньевский_КФХ 012,"зерновые, зернобобовые",Тульская область,Арсеньевский район,,,,8-903-421-3505,"301502, д. Сычевка"
71_Арсеньевский_КФХ 013,"зерновые, зернобобовые",Тульская область,Арсеньевский район,,,,8-905-118-8512,"301510, р.п. Арсеньево"
71_Арсеньевский_КФХ 014,пшеница,Тульская область,Арсеньевский район,,,,8-953-425-2282,"301510, р.п. Арсеньево"
71_Арсеньевский_КФХ 015,"зерновые, зернобобовые, КРС; оптовая торговля зерном; грузоперевозки с/х продукции",Тульская область,Арсеньевский район,,,,8-905-118-8498,"301510, д. Боброво"
71_Арсеньевский_КФХ 016,"пшеница, овес",Тульская область,Арсеньевский район,,,,8-905-117-9565,"301510, д. Астапово"
71_Арсеньевский_КФХ 017,зерновые,Тульская область,Арсеньевский район,,,,8-950-925-9449,"301520, п. Центральный"
«Арсеньевский Маслодельный Завод» ОАО,"приемка, переработка молока, производство молочной продукции",Тульская область,Арсеньевский район,Ген. дир.: Степанова Лидия Мевлюдовна,arsenevo-moloko@rambler.ru,,"(48733) 2-11-95, (48733) 2-10-88","301510, Арсеньевский р-н, р.п. Арсеньево, Бандикова, 104"
«Большевик» ООО,зерновые,Тульская область,Арсеньевский район,Дир.: Дубровкин Александр Иванович,dsa_crocodil@mail.ru,,8-920-761-9448,"301520, п. Центральный"
«Деметра» ЗАО,"яблоки, смородина, переработка в фруктовое пюре",Тульская область,Арсеньевский район,Ген. дир.: Лариков Виталий Александрович,demetra.03@mail.ru,,8-950-918-0121,"301520, Арсеньевский р-н, п. Центральный"
«Прогресс» ООО,зерновые. зернобобовые,Тульская область,Арсеньевский район,Дир.: Манов Вячеслав Владимирович,,,(48733) 2-44-17,"301502, д. Ясенки, 9"
«Урожай» ООО,"пшеница, ячмень, гречиха, рапс, горох",Тульская область,Арсеньевский район,Дир.: Алёхин Андрей Александрович,urojay71@gmail.com,,(48733) 2-11-19,"301521, с. Манаенки, Поповка, 19 А, помещ. 1"
71_Арсеньевский_КФХ 015,"зерновые, зернобобовые, КРС; оптовая торговля зерном; грузоперевозки с/х продукции",Тульская область,Арсеньевский район,,,,8-905-118-8498,"301510, д. Боброво"
«Арсеньевское ХПП» АО,"хранение, складирование зерна",Тульская область,Арсеньевский район,Дир.: Симоненко Александр Александрович,,,(48733) 2-13-90,"301510, Арсеньевский р-н, р.п. Арсеньево, Зерновая, 3"
Администрация Муниципального Образования Белевский район,,Тульская область,Белёвский район,Глава: Егорова Наталья Николаевна,ased_mo_belev@tularegion.ru,"https://belevskij-r71.gosweb.gosuslugi.ru/, https://belevskij-r71.gosweb.gosuslugi.ru/",(48742) 4-18-33,"301530, г. Белев, Октября, 3"
Сектор сельского хозяйства администрации МО Белевский район,,Тульская область,Белёвский район,Нач.: Тимохина Татьяна Сергеевна,,"https://belevskij-r71.gosweb.gosuslugi.ru/, https://belevskij-r71.gosweb.gosuslugi.ru/",(48742) 4-18-86,"301530, г. Белев, Октября, 3, 2 эт., каб. 23"
71_Белёвский_КФХ 001,садоводство (яблоки),Тульская область,Белёвский район,,,,8-910-553-6135,"301519, п. Ровно"
71_Белёвский_КФХ 002,"пшеница, рапс",Тульская область,Белёвский район,,,,8-903-845-8823,"301531, г. Белев"
71_Белёвский_КФХ 003,зерновые,Тульская область,Белёвский район,,,,8-960-603-0498,"301530, г. Белев"
71_Белёвский_КФХ 004,"пшеница, ячмень, рапс, горох",Тульская область,Белёвский район,,,,8-910-703-4710,"301552, д. Астафьево"
71_Белёвский_КФХ 005,"пшеница, соя, рапс, горох",Тульская область,Белёвский район,,,,8-905-625-4020,"301530, г. Белев"
71_Белёвский_КФХ 006,"пшеница, овёс",Тульская область,Белёвский район,,,,8-920-761-4072,"301536, д. Новые Дольцы"
71_Белёвский_КФХ 007,"пшеница, овёс",Тульская область,Белёвский район,,,,8-920-743-2846,"301536, д. Новые Дольцы"
71_Белёвский_КФХ 008,"пшеница, рапс",Тульская область,Белёвский район,,,,8-920-273-0558,"301530, Белевский р-н, д. Теремец"
«Алтухово» ООО,садоводство (яблоки),Тульская область,Белёвский район,Дир.: Жукова Оксана Валериевна,oksk3@yandex.ru,,8-903-845-7306,"301536, д. Новые Дольцы, 3 Б"
«Тулагропродукт» ООО,зерновые,Тульская область,Белёвский район,Ген. дир.: Щерба Константин Витальевич,zem-bel@mail.ru,,"8-926-951-3170, 8-903-725-1962","301531, г. Белев, Рабочая, 105 Ф"
«Урожай» ООО,"пшеница, ячмень, кукуруза, подсолнечник, соя",Тульская область,Белёвский район,Дир.: Фомин Андрей Владимирович,Alex.lobanov79@yandex.ru,,8-961-148-7911,"301530, г. Белев, Лебедевская, 9, оф. 3"
«ХПП Белёвский Элеватор» ООО,хранение и складирование зерна,Тульская область,Белёвский район,Дир.: Батанов Евгений Петрович,buxkt@mail.ru,,(48742) 4-14-14,"301530, г. Белев, Пригородный туп, 1"
Администрация МО Богородицкий район,,Тульская область,Богородицкий район,Глава: Игонин Вадим Вячеславович,vadim.igonin@tularegion.ru,https://bogorodiczkkij-r71.gosweb.gosuslugi.ru/,(48761) 2-21-30,"301835, г. Богородицк, Ленина, 3"
"Отдел экономического развития, предпринимательства и сельского хозяйства администрации МО Богородицкий район",,Тульская область,Богородицкий район,Нач.: Правоторова Татьяна Николаевна,tatyana.pravotorova@tularegion.org,https://bogorodiczkkij-r71.gosweb.gosuslugi.ru/ofitsialno/struktura-munitsipalnogo-obrazovaniya/ispolnitelno-rasporyaditelnyy-organ-munitsipalnogo-obrazovaniya/strukturnye-podrazdeleniya/naimenovanie-strukturnogo-podrazdeleniya-1/,(48761) 2-15-07,"301835, г. Богородицк, Ленина, 3"
71_Богородицкий_КФХ 001,"пшеница, ячмень",Тульская область,Богородицкий район,,,,8-905-626-6199,"301804, д. Муравлянка"
71_Богородицкий_КФХ 002,"пшеница, горох",Тульская область,Богородицкий район,,,,8-906-533-8800,"301804, д. Анохино"
71_Богородицкий_КФХ 003,"КРС (молочный), пшеница",Тульская область,Богородицкий район,,,,8-902-751-6825,"301805, п. Бегичевский"
71_Богородицкий_КФХ 004,"пшеница, ячмень, рапс",Тульская область,Богородицкий район,,,,8-906-620-8767,"301810, с. Ломовка"
71_Богородицкий_КФХ 005,"пшеница, соя",Тульская область,Богородицкий район,,,,8-903-844-6451,"301805, п. Бегичевский"
71_Богородицкий_КФХ 006,зерновые,Тульская область,Богородицкий район,,,,8-909-263-0202,"301833, г. Богородицк"
71_Богородицкий_КФХ 007,"пшеница, рапс, соя",Тульская область,Богородицкий район,,,,8-953-428-1800,"301815, с. Иевлево"
71_Богородицкий_КФХ 008,"зерновые, масличные",Тульская область,Богородицкий район,,,,8-903-844-8186,"301816, с. Черняевка"
71_Богородицкий_КФХ 009,"пшеница, ячмень, соя, рапс, горох",Тульская область,Богородицкий район,,,,8-953-969-4923,"301813, с. Новопокровское"
«АПК «Родное» ООО,зерновые,Тульская область,Богородицкий район,Ген. дир.: Швец Алексей Владимирович,apcrodnoe@yandex.ru,,(48761) 9-13-85,"301824, с. Малевка, Центральная, 9"
«БМЗ» ООО,"производство молочной продукции (творог, сметана, масло и др.)",Тульская область,Богородицкий район,Ген. дир.: Саломасова Ольга Васильевна,bmz-2017@mail.ru,,"(48761) 2-28-40, 8-962-278-8111, (48761) 8-910-580-0173","301830, г. Богородицк, Привокзальный 1-й проезд, 1"
«Богородицкие Поля» ООО,"пшеница, соя, лён",Тульская область,Богородицкий район,Ген. дир.: Караваева Наталья Владимировна,bogpole@bk.ru,,8-905-178-7037,"301815, с. Иевлево, сл. Бодаево, 181, помещ. 4"
«Богородицкий Альянс» ООО,"пшеница, ячмень, рапс, картофель",Тульская область,Богородицкий район,Ген. дир.: Лаврентьев Николай Викторович,bogal71@mail.ru,,"(48761) 3-31-95, 8-961-150-1773","301826, с. Бахметьево, Центральная, 15"
«БОСХ» ООО («Богородицксельхозхимия» ООО),"пшеница, ячмень, кукуруза, овёс",Тульская область,Богородицкий район,Ген. дир.: Курносых Андрей Михайлович,bogselhim@mail.ru,,8-930-890-8051,"301831, г. Богородицк, 30 лет Победы, 1 Б"
«Звезда» КФХ,"ячмень, овёс, лошади",Тульская область,Богородицкий район,,,,8-905-753-8668,"301835, х. Шахтерский"
«Победитель» ЗАО,"пшеница, рапс, ячмень",Тульская область,Богородицкий район,Ген. дир.: Полынов Петр Васильевич,zao.pobeditel@yandex.ru,,"(48761) 4-91-53, 8-909-627-3096, 8-960-618-1880","301825, с. Папоротка, Центральная, 57/2"
«Татьяна» КФХ,"пшеница, ячмень, соя",Тульская область,Богородицкий район,,,,8-906-539-4839,"301816, д. Мшищи"
«Эко-Агро» ООО,"пшеница, кукуруза, подсолнечник, соя, рапс; сахарная свекла",Тульская область,Богородицкий район,Ген. дир.: Райский Анатолий Станиславович,bridgit10@mail.ru,,8-903-841-8575,"301830, г. Богородицк, Магистральный пр-д, 1 А, оф. 3"
«Богородицкое ХПП» ООО,"приемка, сушка, подработка, хранение и складирование зерна",Тульская область,Богородицкий район,Ген. дир.: Яицкий Александр Петрович,bogoroditsk_xpp@mail.ru,https://hppbgrsk71.ru/,8-929-073-7171,"301830, г. Богородицк, Волынкина, 15"
Администрация МО Веневский Муниципальный округ Тульской области,,Тульская область,Венёвский район,Глава: Шубчинский Андрей Геннадиевич,ased_mo_venev@tularegion.ru,https://venevskij-r71.gosweb.gosuslugi.ru/,"(48745) 2-12-33, (48745) 2-24-60","301320, г. Венёв, пл. Ильича, 4"
"Комитет по экономике, инвестициям, развитию АПК администрации МО Венёвский Муниципальный округ Тульской области",,Тульская область,Венёвский район,,ased_mo_venev@tularegion.ru,https://venevskij-r71.gosweb.gosuslugi.ru/,"(48745) 2-23-05, 2-47-27","301320, г. Венёв, пл. Ильича, 4"
71_Венёвский_КФХ 001,"пшеница, ячмень, соя, картофель",Тульская область,Венёвский район,,,,"8-905-620-8657, 8-961-266-6886, (48745) 3-46-71, 3-46-36","301324, с. Урусово"
71_Венёвский_КФХ 002,овощи,Тульская область,Венёвский район,,,,8-903-035-8404,"301320, г. Венев"
71_Венёвский_КФХ 004,"пшеница, ячмень, соя, горох; картофель, свекла столовая",Тульская область,Венёвский район,,,,8-910-943-1024,"301326, с. Прудищи"
71_Венёвский_КФХ 005,"пшеница, ячмень, горох; картофель",Тульская область,Венёвский район,,,,8-909-260-9493,"301326, с. Прудищи"
71_Венёвский_КФХ 006,"пшеница, ячмень, рапс, горох",Тульская область,Венёвский район,,,,"(48745) 2-37-12, 8-903-697-7122","301327, с. Поветкино"
71_Венёвский_КФХ 007,пшеница,Тульская область,Венёвский район,,,,8-920-763-0124,"301336, с. Карники"
71_Венёвский_КФХ 008,пшеница; картофель,Тульская область,Венёвский район,,,,8-962-271-7239,"301325, с. Гати"
71_Венёвский_КФХ 009,зерновые; картофель,Тульская область,Венёвский район,,,,8-905-625-4656,"301320, г. Венев"
71_Венёвский_КФХ 010,пшеница; картофель,Тульская область,Венёвский район,,,,8-906-539-0999,"301325, с. Гати"
71_Венёвский_КФХ 011,"пшеница, ячмень",Тульская область,Венёвский район,,,,8-906-621-6691,"301324, д. Островки"
71_Венёвский_КФХ 012,"пшеница, ячмень",Тульская область,Венёвский район,,,,8-905-11-3942,"301320, д. Большие Заломы"
71_Венёвский_КФХ 013,пшеница,Тульская область,Венёвский район,,,,8-977-415-6770,"301318, п. Октябрьский"
71_Венёвский_КФХ 014,"пшеница, рапс, ячмень (на кормовые цели)",Тульская область,Венёвский район,,,,8-920-755-7722,"302320, сл. Озеренская"
71_Венёвский_КФХ 015,"зерновые, зернобобовые, КРС, свиньи",Тульская область,Венёвский район,,,,8-920-272-6777,"301317, д. Кукуй"
71_Венёвский_КФХ 016,овощи (открытый грунт),Тульская область,Венёвский район,,,,8-910-943-1612,"301320, г. Венев"
71_Венёвский_КФХ 017,пшеница,Тульская область,Венёвский район,,,,8-910-160-7011,"301305, с. Козловка"
71_Венёвский_КФХ 018,пшеница,Тульская область,Венёвский район,,,,8-906-624-0158,"301312, д. Тулубьево"
«АПК Васильевский» ООО,"пшеница, ячмень",Тульская область,Венёвский район,Ген. дир.: Рубцов Игорь Владимирович,"123060a@mail.ru, a_gronom@mail.ru",,8-916-742-3713,"301310, п. Васильевский, Школьная, 5"
«Венёвсельхозхимия» ОАО,"пшеница, ячмень, горох, гречиха",Тульская область,Венёвский район,Ген. дир.: Макарова Мария Алексеевна,venevcelhim@rambler.ru,,(48745) 2-23-82,"301320, г. Венёв, Кольцевая, 1 А, литер а 24"
«Венёвские Угодья» ООО,"пшеница, картофель, сахарная свекла",Тульская область,Венёвский район,Ген. дир.: Мешалкин Михаил Александрови,Venevkartofel@mail.ru,,8-903-845-8446,"301320, г. Венев, Белова, 40 А, помещ. 1"
«Венёвский Салат» ООО,"овощи (капуста, морковь, огурцы, чеснок, хрен, укроп)",Тульская область,Венёвский район,Ген. дир.: Акимов Аким Ахмедханович,venevsklad@mail.ru,,8-968-580-5538,"301326, д. Причаль, Новая, 5"
«Возрождение» ООО СХП,пшеница; картофель,Тульская область,Венёвский район,Дир.: Морозов Анатолий Николаевич,,,"(48745) 7-46-84, 8-903-840-3298","300000, с. Гати, Микрорайон, 8"
«Восход» КФХ,зерновые,Тульская область,Венёвский район,,,,8-910-556-7635,"301320, г. Венев"
«Залесово» ООО,"пшеница, рапс, соя, горох",Тульская область,Венёвский район,Дир: Швец Алексей Владимирович,zalesovo1965@yandex.ru,,8-910-555-0555,"301305, с. Козловка, Молодежная, 15"
«НТ Агри» ООО,"пшеница, рапс, горох, соя",Тульская область,Венёвский район,Ген. дир.: Трубицына Ирина Викторовна,irina.trubicina@ntagri.ru.com,,8-910-702-2721,"301320, г. Венев, пер. Белова, 6, помещ. 1"
«Петропавловское» ООО,"пшеница, ячмень",Тульская область,Венёвский район,Ген. дир.: Болотский Алексей Васильевич,zaostroitexnika@mail.ru,,"(4872) 31-33-20, 8-910-554-5818","301317, д. Кукуй, Центральная, 23"
«Родниковое Поле» ООО,"зерновые, КРС (молочный); семена льна долгунца; производство молочной продукции",Тульская область,Венёвский район,Ген. дир.: Бочаров Сергей Викторович,"office@, rodnikovoe-pole.ru",https://rodnikovoe-pole.ru/#popup:infoblock2023,"8-800-700-5717, 8-915-688-5581","301336, д. Татарники, Степная, 13"
«Салют» ЗАО,"пшеница, ячмень, горох, овёс",Тульская область,Венёвский район,Ген. дир.: Проданюк Антон Николаевич,zao.salut009@yandex.ru,,(48745) 4-31-24,"301300, с. Трухачевка"
«Тульская Нива» АО,"пшеница, ячмень, горох",Тульская область,Венёвский район,Ген. дир.: Соколова Анастасия Валериевна,a.sokolova@tulskayaniva.ru,,"906-537-9292, (48745) 4-31-44","301333, с. Клин, Производственная, 1"
«Корни» СХП ООО,"производство и продажа саженцев хвойных, лиственных, плодовых деревьев и кустарников",Тульская область,Венёвский район,Ген. дир.: Новикова Анастасия Сергеевна,info@pitomnik-korni.ru,https://pitomnik-korni.ru/,(495) 649-66-82,"301305, Веневский р-н, д. Тураево"
«Родниковое Поле» ООО,"зерновые, КРС (молочный); семена льна долгунца; производство молочной продукции",Тульская область,Венёвский район,Ген. дир.: Бочаров Сергей Викторович,"office@, rodnikovoe-pole.ru",https://rodnikovoe-pole.ru/#popup:infoblock2023,"8-800-700-5717, 8-915-688-5581","301336, д. Татарники, Степная, 13"
Администрация МО Воловский Муниципальный округ Тульской области,,Тульская область,Воловский район,Глава: Пиший Сергей Юрьевич,ased_mo_volovo@tularegion.ru,https://volovskij-r71.gosweb.gosuslugi.ru/,(48768) 2-17-57,"301570, р.п. Волово, Ленина, 48"
Управление сх администрации МО Воловский Муниципальный округ Тульской области,,Тульская область,Воловский район,Хренова Надежда Васильевна,volosx@tularegion.org,https://volovskij-r71.gosweb.gosuslugi.ru/,(48768) 2-12-88,"301570, р.п. Волово, Ленина, 59"
71_Воловский_КФХ 001,"пшеница, ячмень",Тульская область,Воловский район,,,,8-906-536-8946,"301573, д. Панарино"
71_Воловский_КФХ 002,зерновые,Тульская область,Воловский район,,,,8-930-074-7333,"301570, п. Волово"
71_Воловский_КФХ 003,пшеница,Тульская область,Воловский район,,,,8-920-745-9157,"301570, д. Становая"
71_Воловский_КФХ 004,"пшеница, ячмень",Тульская область,Воловский район,,,,8-953-952-1761,"301595, п. Волово"
71_Воловский_КФХ 005,"пшеница, ячмень, рапс, соя",Тульская область,Воловский район,,,,8-960-604-6862,"01597, д. Дворики"
71_Воловский_КФХ 006,"пшеница, ячмень",Тульская область,Воловский район,,,,8-910-557-8721,"301573, д. Панарино"
71_Воловский_КФХ 007,"ячмень, пшеница",Тульская область,Воловский район,,,,8-905-114-4621,"301573, д. Фетисово"
71_Воловский_КФХ 008,"пшеница, ячмень",Тульская область,Воловский район,,,,8-960-595-6276,"301586, д. Красная Дубровка"
71_Воловский_КФХ 009,садоводство,Тульская область,Воловский район,,,,8-906-535-2228,"301570, п. Садовый"
71_Воловский_КФХ 010,зерновые,Тульская область,Воловский район,,,,"(48768) 3-23-49, 8-906-530-4370","301570, д. Становая"
71_Воловский_КФХ 011,"пшеница, ячмень, соя",Тульская область,Воловский район,,,,8-910-701-9192,"301570, с. Осиново"
71_Воловский_КФХ 012,"пшеница, ячмень, подсолнечник, рапс",Тульская область,Воловский район,,,,8-910-948-7777,"юр. адр.: 301900, Тепло-Огаревский р-н, р.п. Теплое"
71_Воловский_КФХ 013,"пшеница, ячмень",Тульская область,Воловский район,,,,8-915-688-4838,"301586, д. Красная Дубровка"
71_Воловский_КФХ 014,"зерновые, масличные",Тульская область,Воловский район,,,,8-910-945-0039,"301595, с. Верхоупье"
71_Воловский_КФХ 015,зерновые,Тульская область,Воловский район,,,,8-953-438-8618,"301570, п. Волово"
71_Воловский_КФХ 016,"зерновые, масличные",Тульская область,Воловский район,,,,8-909-644-6602,"301570, п. Волово"
71_Воловский_КФХ 017,зерновые,Тульская область,Воловский район,,,,8-960-598-7585,"301576, с. Непрядва"
«Агрокомплекс Развитие» ООО,"пшеница, ячмень, соя, рапс, горчица",Тульская область,Воловский район,Ген. дир.: Фарадов Фаик Фархад Оглы,AKR@agrorazvitie.ru,,(48768) 3-31-30,"301581, д. Баскаково, Центральная, 41, офис 1"
«ВК» ООО,"производство нерафинированных и рафинированных масел (рапсовое, подсолнечное); жмых",Тульская область,Воловский район,Ген. дир.: Ахмеджанов Хасан Алимович,hasik@yandex.ru,,8-967-215-7733,"301570, п. Волово, Слепцова, 18, офис 2"
«Возрождение» КФХ,"пшеница, ячмень, КРС (молочный)",Тульская область,Воловский район,,,,8-953-187-7133,"301575, д. Красный Холм"
«Воловосельхозтехника» ООО,"пшеница, ячмень, овес, гречиха, подсолнечник, соя, рапс",Тульская область,Воловский район,Ген. дир.: Сухова Александра Ивановна,"sxt-2014@mail.ru, shtehnika@volovo.tula.net",,(48768) 2-17-77,"301570, п. Волово, Александрова, 10"
«Воловская Земля» ООО,"зерновые, зернобобовые, масличные",Тульская область,Воловский район,Ген. дир.: Борисов Сергей Михайлович,,,"(495) 670-52-13, (495) 670-59-04, (495) 670-71-00","301595, с. Верхоупье, Южная, 57 А"
«Воловская Техника» ООО,"картофель; пшеница, ячмень, подсолнечник, рапс",Тульская область,Воловский район,Ген. дир.: Щербаков Виктор Евгеньевич,bt7171@mail.ru,,"(48768) 3-35-30, (48768) 3-35-22","301595, с. Верхоупье, Южная, 57 А"
«Воловский Бройлер» ООО,"птицеводство (цыплята-бройлеры), полуфабрикаты из мяса цыплят-бройлеров, производство и консервирование мяса птицы",Тульская область,Воловский район,Ген. дир.: Гапоненко Константин Олегович,info@volovo-broyler.ru,https://volovo-broyler.ru/,(499) 702-44-44,"301570, п. Волово, Слепцова, 5"
«Дворики» КФХ,пшеница,Тульская область,Воловский район,,,,8-953-433-4211,"301595, с. Верхоупье"
«Доверие» ПССЖОСПК,зерновые,Тульская область,Воловский район,Предс.: Крюкова Олеся Михайловна,,,8-965-296-7576,"301580, п. Ялта, Садовая, 92"
«Заря» КФХ,"пшеница, ячмень, рапс, гречиха, кукуруза",Тульская область,Воловский район,,,,"(48768) 3-36-18, (48768) 3-36-16","301587, с. Борятино"
«Колос» ООО,"ячмень, подсолнечник, гречиха",Тульская область,Воловский район,Ген. дир.: Сергеев Сергей Александрович,1@kolos71.ru,,8-905-622-7170,"301582, д. Сухие Плоты, Героя Матюхина, 5"
«Красное Знамя» ООО / «Ялта» ООО,"пшеница, подсолнечник, рапс, соя, горох, люпин; производство круп",Тульская область,Воловский район,Ген. дир.: Паршиков Сергей Сергеевич,rotefane71@yandex.ru,,8-910-940-0727,"301537, д. Панарино, Административная, 8 («Красное Знамя» ООО)"
«Надежда» КФХ,"пшеница, ячмень",Тульская область,Воловский район,,,,8-915-785-7513,"301570, п. Волово"
«Нива» ООО,"пшеница, ячмень, рапс, кукуруза, гречиха",Тульская область,Воловский район,Ген. дир.: Горбачёва Раиса Васильевна,spk_boryatino@mail.ru,,"(48768) 3-36-30, (48768) 3-36-23","301587, с. Борятино, 29"
«Серафим» КФХ,"пшеница, ячмень, соя, рапс, подсолнечник",Тульская область,Воловский район,,serafim1345@mail.ru,,8-906-623-0633,"301574, с. Никитское"
«Становая» ООО,зерновые,Тульская область,Воловский район,Дир.: Свирин Антон Викторович,stanovau@ya.ru,,(48768) 3-23-46,"301570, д. Становая"
