Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
«Брянская зерновая компания» ООО,"приемка, складирование, сушка, подработка и отгрузка зерновых; закупка: зерновые культуры, жмых рапсовый, шрот подсолнечный, соль, мел, комбикорм для телят; производство и реализация: мука пшеничная, ржаная, гречневая, отруби пшеничные и ржаные; производство комбикормов для с/х животных и с/х птицы",Брянская область,Брянск г.,Ген. дир.: Мимонов Роман Витальевич,"info@bzk32.ru, karachev.info@bzk32.ru","http://www.bzk32.ru/, http://www.bzk32.ru/","(4832) 32-02-15, (48335) 2-73-33","головной офис: 241020, г. Брянск, Московский пр-кт, 83"
"«Август» фирма АО, представительство (Брянская область)",СЗР,Брянская область,Брянск г.,,"a.tolchenkoff@inbox.ru, a.tolchenkov@avgust.com",https://www.avgust.com/,"8-980-332-1556, 8-950-695-6784","241029, г. Брянск, пр. Московский, 10 А/5, оф. 204"
«АИП-Фосфаты» ООО,"производство минеральных удобрений (мука фосфоритная, гранулированная удобрительная смесь Борофоска), поставка минерального сырья для производства премиксов; производство кормовых добавок для всех видов сельскохозяйственных животных; услуги по доставке и внесению удобрений на поля",Брянская область,Брянск г.,Ген. дир.: Сезин Юрий Анатольевич,"aip.online@mail.ru, aip.online@mail.ru, aip-fosfati@yandex.ru, aip-fosfati@yandex.ru, sergeenko.fosfati@mail.ru, sergeenko.fosfati@mail.ru, kirill_aip-fosfat@mail.ru, kirill_aip-fosfat@mail.ru",http://www.aip-fosfat.ru/,"(4832) 32-52-77, 32-52-76, (4832) 32-52-75, (4832) 8-900-369-7236, 8-952-962-8771, 8-995-604-4501","241047 г. Брянск, Фосфоритная, 1, оф. 1"
"«Агролига России» ООО, Брянское представительство","СЗР; агрохимикаты, удобрения, инокулянты; семена полевых культур",Брянская область,Брянск г.,,tra32@almos-agroliga.ru,"https://www.agroliga.ru/, https://www.agroliga.ru/",8-910-231-0623,"241000, г. Брянск"
«Юнэкт-Б» ООО,"услуги по перевозкам наливного с/х груза в цистернах (масла растительные, жиры)",Брянская область,Брянск г.,Ген. дир.: Филиппов Олег Алексеевич,unakt-b@mail.ru,,(4832) 75-87-98,"241020, г. Брянск, Московский пр-кт, 106 А, оф. 10"
«ПКФ «Консис» ООО,"производство тросов дистанционного управления (управление работой двигателя (ТНВД), управление коробкой передач (КПП), управление гидрораспределителями навесных механизмов)",Брянская область,Брянск г.,Ген. дир.: Мишурин Игорь Валентинович,pkfconsys@yandex.ru,https://pkfconsys.ru/,"8-966-136-7739, (4832) 52-04-65","241035, г. Брянск, Литейная, 11, оф.45"
«Амкодор-Брянск» ООО,"производство и продажа машин и оборудования для сельского хозяйства, запчасти, ремонт",Брянская область,Брянск г.,Ген. дир.: Умаров Ялчин Алекперович,amkodor-bryansk@yandex.ru,"https://bryansk-amkodor.ru/, https://bryansk-amkodor.ru/","8-910-034-6170, 8-920-600-8027","241047, г. Брянск, Фосфоритная, 1 Б"
«Брянскагрохим» ООО ПКФ,гранулированные минеральные удобрения,Брянская область,Брянск г.,Дир.: Холобаев Владимир Иванович,"bax32info@bk.ru, bax32info@bk.ru",https://bahim.ru/,8-910-743-0263,"241023, г. Брянск, Бежицкая, к. 1/4, пом. 3"
«Брянский мясоперерабатывающий комбинат» ООО,"свиноводство; колбасы, мясные деликатесы, мясные полуфабрикаты, мясные консервы",Брянская область,Брянск г.,Ген. дир.: Цуркан Дмитрий Валерьевич,office@kingmeat.ru,https://kingmeat.ru/,"(4832) 63-58-26, (4832) 63-02-00","241020, г. Брянск, Тухачевского, 2, оф. 1"
«Агротрейд» ООО,"продажа картофеля, овощей, зерновых культур",Брянская область,Брянск г.,Ген. дир.: Якименко Дмитрий Валерьевич,agrotrade32@mail.ru,"https://optom-kartofel.ru/, https://optom-kartofel.ru/","8-980-338-4732, 8-930-826-4732, 8-930-828-4732","241007, г. Брянск, 9 Января, 48, помещ. 1"
«Нефтика-Кард Плюс» ООО,продажа моторного топлива и оказание услуг по безналичному расчету за ГСМ; оптовые поставки нефтепродуктов; строительство и оснащение АЗС,Брянская область,Брянск г.,Ген. дир.: Нежлукченко Ольга Николаевна,office@neftika.ru,"https://www.neftika-card.ru/, https://www.neftika-card.ru/","(4832) 63-97-77, (4832) 63-98-88, (4832) 63-98-98, (4832) 63-97-97","241020, г. Брянск, Дзержинского, 30 литер б, оф. 8"
«Агрорешения» ООО,"продажа техники для кормозаготовки, почвообработки; сеялок, опрыскивателей; запчастей; сервисное обслуживание",Брянская область,Брянск г.,Ген. дир.: Ананченко Александр Викторович,"zap@agro-sol.ru, kiv@agro-sol.ru, info@agro-sol.ru","https://agro-sol.ru/index.php, https://agro-sol.ru/index.php","8-900-356-9646, 8-900-357-3112, 8-952-965-7040","241028, г. Брянск, Урицкого, 122, 35"
«Возрождение» ООО,"картофель, капуста, лук, свекла столовая, морковь",Брянская область,Брянск г.,Ген. дир.: Горовых Дмитрий Вячеславович,apk-v@apk-v.ru,,8-953-298-0101,"241050, г. Брянск, Фокина, стр. 4/6, офис 209"
«ФармПроект» ООО,корма для сельскохозяйственных животных - производство и продажа,Брянская область,Брянск г.,Ген. дир.: Борисов Александр Владимирович,buh@nashe32.ru,"http://korma32.ru/, http://korma32.ru/, http://korma32.ru/","8-961-105-0566, 8-952-961-9149","юр. адрес: 241012, г. Брянск, 22 Съезда КПСС, 49, кв. 61"
«Наши Поля» ООО,овощи (открытый грунт),Брянская область,Брянск г.,Ген. дир.: Лукашенко Георгий Артурович,nashipolya@mail.ru,,8-930-823-5333,"241035, г. Брянск, Куйбышева, 15 А, оф. 413"
Брянская городская администрация,,Брянская область,Брянск г.,Глава: Макаров Александр Николаевич,goradm@bga32.ru,"https://bga32.ru/, https://bga32.ru/, https://bga32.ru/",(4832) 66-40-44,"241050, г. Брянск, пр-кт Ленина, 35"
«Аграрник» ООО,запчасти к отечественной с/х технике,Брянская область,Брянск г.,Дир.: Ляпин Виктор Андреевич,,,"(4832) 41-91-56, (4832) 41-91-58","241050, г. Брянск, пр-кт Станке Димитрова, 72"
«Брянсксельмаш» АО,"производство и реализация зерно- и кормоуборочных комбайнов, сеялок прямого сева, техники для мульчирования, запчастей",Брянская область,Брянск г.,Ген. дир.: Шилин Андрей Сергеевич,info@bryanskselmash.ru,http://www.bryanskselmash.ru/,"(4832) 74-77-07, 8-800-770-7080","241020, г. Брянск, Московский пр-т, 86"
«Брянское районное управление сельского хозяйства» ГКУ,,Брянская область,Брянск г.,Нач.: Иванишко Иван Михайлович,gubrush@yandex.ru,,"(4832) 62-00-06, (4832) 62-01-39","241037, г. Брянск, Красноармейская, 156"
Департамент сельского хозяйства Брянской области,,Брянская область,Брянск г.,Дир.: Симоненко Сергей Кириллович,"info@depagro32.ru, kineva_n@bk.ru, zoo@depagro32 .ru, pererab@depagro32.ru",,"(4832) 77-02-25, (4832) 77-00-69, (4832) 77-00-94, (4832) 74-66-56, (4832) 77-01-18, (4832) 77-01-26, (4832) 77-01-17, (4832) 77-01-34, (4832) 77-01-36","241050, г. Брянск, пр-кт Ленина, 37"
«ФПК «Виктория» ООО,"зерновые: овощи (капуста, морковь), картофель; бахчевые",Брянская область,Брянск г.,Ген. дир.: Бичегкуев Заур Артурович,"sale@fpcvictoria.ru, fpc-viktoria@mail.ru",https://www.fpcvictoria.ru/,8-906-696-6616,"241050, г. Брянск, Емлютина, 37, оф. 5"
«НПО Пробио» ООО,"производство кормовых добавок для с/х животных (витаминно-минеральные комплексы, подкормки для лошадей)",Брянская область,Брянск г.,Ген. дир.: Кузьмич Анна Николаевна,ak@probio.pro,,(4832) 68-12-40,"241050, г. Брянск, 2-я Почепская, 42/1, помещ. 2-69"
«ПроАгро-32» ООО,"СЗР; удобрения (водорастворимые, микроудобрения стимуляторы роста); оборудование для капельного орошения; сельхозтехника, запчасти, сервисное обслуживание",Брянская область,Брянск г.,Ген. дир.: Григорьев Игорь Леонидович,info@proagro.su,https://www.proagro.su/,(4832) 74-66-15,"241050, г. Брянск, Ямская, 19, ком. 11"
"«Надежда Фарм» ООО ГК, представительство в г. Брянске",оптовая торговля ветпрепаратами,Брянская область,Брянск г.,Рук.: Артемов Александр Михайлович,nf.brynsk1@gmail.com,http://www.hopetmb.ru/,"8-905-176-4443, (4832) 40-01-20","241004, г. Брянск, пр-кт Московский, 106 А"
«МСС Групп» ООО,"промышленное холодильное оборудование, оборудование для хлебопекарного производство",Брянская область,Брянск г.,Ген. дир.: Исаханян Авет Валерьевич,manager@msscentr.ru,,"(4832) 30-33-21, (4832) 8-800-550-7321","юр. адрес: 241519, п Путевка, мкр. Мегаполис-Парк, д. 14 к. 4, кв. 56"
«Брянский Молочный Комбинат» ОАО,производство молочной продукции,Брянская область,Брянск г.,Ген. дир.: Рябцев Алексей Геннадьевич,"bmk@ipcity.ru, info@bmk.ru","http://www.milgrad.ru/, https://bmk-milk.com/","(4832) 52-49-11, 8-900-693-3232, (4832) 8-800-100-7377","241027, г. Брянск, 50-й Армии, 2 Б"
«Слобода Агро-Инвест» ООО,"пшеница, рожь",Брянская область,Брянск г.,Дир.: Хищенко Жанна Валерьевна,slobodaagroinvest32@gmail.com,,8-915-802-7545,"241035, г. Брянск, мкр. Московский, 60"
«Брянская зерновая компания» ООО,"приемка, складирование, сушка, подработка и отгрузка зерновых; закупка: зерновые культуры, жмых рапсовый, шрот подсолнечный, соль, мел, комбикорм для телят; производство и реализация: мука пшеничная, ржаная, гречневая, отруби пшеничные и ржаные; производство комбикормов для с/х животных и с/х птицы",Брянская область,Брянск г.,Ген. дир.: Мимонов Роман Витальевич,"info@bzk32.ru, karachev.info@bzk32.ru","http://www.bzk32.ru/, http://www.bzk32.ru/","(4832) 32-02-15, (48335) 2-73-33","головной офис: 241020, г. Брянск, Московский пр-кт, 83"
«Агронова-Брянск» АО,минеральные удобрения,Брянская область,Брянск г.,Ген. дир.: Белоногий Геннадий Михайлович,bryansk@agronova.ru,,"(4832) 68-03-21, (4832) 66-53-69","241050, г. Брянск, Канатный пер., 5, 3 этаж"
«Возрождение» ООО,"производство муки, хлеба, хлебобулочных изделий",Брянская область,Брянск г.,Ген. дир.: Отрощенко Станислав Васильевич,,,"(4832) 74-80-99, (4832) 63-13-31","241020, г. Брянск, Московский пр-кт, 85 А"
«Брянскзооветснаб» ООО,"продажа ветпрепаратов, дезсредств, инструментария, биопрепаратов; семена",Брянская область,Брянск г.,Ген. дир.: Процкий Иван Иванович,bryanskvetsnab32@mail.ru,"http://vetsnab32.ru/, http://vetsnab32.ru/",(4832) 41-46-83,"241019, г. Брянск, пер. Осоавиахима, 1 А"
«Торгснаб» ООО,"хлебопекарное и кондитерское оборудование, оборудование для молоко и мясо переработки, холодильное оборудование, весоизмерительное оборудование",Брянская область,Брянск г.,Дир.: Игнатов Александр Дмитриевич,torgsnab635648@mail.ru,https://torgsnab32.ru/,"(4832) 63-51-49, (4832) 63-56-48","241020, г. Брянск, пер. Московский, 10"
«ТД «Агропарк» ООО,"тракторы, почвообрабатывающая, посевная техника, машины для внесения удобрений, техника для животноводства, зерноперерабатывающая техника",Брянская область,Брянск г.,Ген. дир.: Подорожный Евгений Викторович,89611050307@mail.ru,http://www.tdagropark.ru/,"8-961-105-0306, 8-961-105-0307","241028, г. Брянск, пр-кт Станке Димитрова, 54 А, оф. 62"
«ТД «Агропромресурс» ООО / «ТД «Агрохимресурс» ООО,"торговля оптовая удобрениями и агрохимическими продуктами; семена, комбикорма",Брянская область,Брянск г.,Ген. дир.: Горбанев Александр Анатольевич,agrohim32@bk.ru,,"(4832) 92-14-14, (4832) 8-961-000-3232","241050, г. Брянск, пр-кт Станке Димитрова,106, кв. 38"
«Царь-Мясо» ООО,"свиноводство, производство колбасных изделий",Брянская область,Брянск г.,Ген. дир.: Бадырханов Мухтар Бийгишиевич,office@kingmeat.ru,,"(4832) 63-58-24, (4832) 63-58-26","242020, г. Брянск, Тухачевского, 2"
«Промэлеватор» ООО,"зерноочистительное оборудование, зерносушилки, емкости для хранения зерна, теплогенераторы, нории, транспортеры",Брянская область,Брянск г.,Дир.: Шатунов Александр Анатольевич,roselevator@gmail.com,,"(4832) 58-22-60, 8-952-960-1686","241023, г. Брянск, Бежицкая, 286, корп. 1, оф. 407"
«Брянский гормолзавод» ОАО,производство молочной продукции,Брянская область,Брянск г.,Ген. дир.: Цуркан Дмитрий Валерьевич,main@bgmz.ru,,(4832) 41-62-61,"241050, г. Брянск, 2-я Почепская, 35 А"
«Триада» ООО,торговля оптовая нефтепродуктами,Брянская область,Брянский район,Ген. дир.: Введенский Олег Андреевич,,,"(4832) 71-80-99, 8-920-606-7099","241050, г. Брянск, б-р Гагарина, д. 23, помещ. 514"
«ТД «Агромаркет» ООО,запчасти на с\х технику и оборудование,Брянская область,Брянский район,Ген. дир.: Красная Галина Сергеевна,89605531010@mail.ru,"https://www.tdagromarket.ru/, https://www.tdagromarket.ru/","(4832) 59-98-26, 8-960-551-1010","242300, Брасовский р-н, рп Локоть, Липовая Аллея, 73 А"
Администрация Брянского района,,Брянская область,Брянский район,Глава: Пронин Александр Александрович,admbr@mail.ru,https://adminbr.ru/,"(4832) 94-17-59, (4832) 94-10-90","241525, Брянский р-н, с. Глинищево, П. М. Яшенина, 9"
«Дружба» ООО,"КРС (мясной, молочный), свиньи",Брянская область,Брянский район,Дир.: Данякин Павел Николаевич,4832675080@bk.ru,,"(4832) 31-80-11, (4832) 31-80-00","241525, с. Глинищево, Главная, стр. 1, корп. 1"
«Агрозапчасть» ООО,"тракторы МТЗ, запчасти к тракторам и с/х технике; техобслуживание тракторов, грузовых автомобилей, экскаваторов (всех узлов и агрегатов)",Брянская область,Брянский район,Дир.: Самусева Светлана Дмитриевна,agroms32@agro.ru,https://agroms.ru/,"(4832) 92-12-22, (4832) 30-00-32","241520, с. Супонево, Ленина, 131 Б"
«Трибологистика» ООО,"масла, смазочные материалы",Брянская область,Брянский район,Ген. дир.: Рыжиков Фёдор Александрович,,,"8-910-292-4440, (4832) 32-12-11","241004, п. Свень, Снежетьский Вал, 4 А"
32_Брянский_КФХ 010,"зерновые, зернобобовые, масличные; КРС (молочный)",Брянская область,Брянский район,,,,"8-910-330-3459, 8-953-292-0242","241515, с. Отрадное"
«Технолюб» ООО,"масла, смазки",Брянская область,Брянский район,Ген. дир.: Логвинов Владимир Николаевич,info@technolube.ru,https://www.technolube.ru/,8-930-820-0733,"241047, г. Брянск, Фосфоритная,1 В, оф. 307"
32_Брянский_КФХ 005,"зерновые, зернобобовые, масличные; морковь, картофель, лук",Брянская область,Брянский район,,,,"8-910-290-7252, 8-910-234-7773","241000, г. Брянск"
32_Брянский_КФХ 012,"овощи салатные листовые, микрозелень",Брянская область,Брянский район,,,,8-919-292-6359,"241047, г. Брянск"
«Руспромхолод» ООО,"холодильное, тепловое оборудование, монтаж промышленных систем холодоснабжения",Брянская область,Брянский район,Ген. дир.: Синий Игорь Васильевич,manager@rph-equip.ru,https://www.rph-equip.ru/,"(4832) 59-55-29, (4832) 59-55-21","241520, с. Супонево, 3-й Ленинский пер., 2, помещ. 2"
«Тепличный комбинат Журиничи» ООО,"овощи (закрытый грунт), бахчевые культуры; плодовые деревья и кустарники",Брянская область,Брянский район,,"info@rostgroup.ru, info@ghgt.ru",,(4832) 60-77-59,"241540, с. Журиничи, Лесная, 22"
«Строй Холод» ООО,"производство и продажа промышленного, полупромышленного климатического оборудования",Брянская область,Брянский район,Дир.: Карпекин Сергей Геннадьевич,,https://klimatcold-spb.ru/,"(4832) 62-96-09, 8-930-820-4703","241519, п. Кузьмино, Тютчева, 18, кв. 1"
«Новый Путь» ООО / «Новый Путь-2» ООО,"пшеница, ячмень, кукуруза, соя, рапс, овёс; КРС",Брянская область,Брянский район,Ген. дир.: Томак Евгений Васильевич,markelova.li@mail.ru,,8-915-803-4644,"241525, с. Опахань"
"«Россельхозцентр» по Брянской области, Филиал ФГБУ","реализация СЗР, агрохимикатов, удобрений, кормов и лекарственных средств ветеринарного применения, техники, оборудования, семян, растениеводческой и другой продукции; проведение экспертизы семенного и посадочного материала, зерна и продуктов его переработки, оценка данных об ущербе в агропромышленном комплексе от стихийных бедствий, неблагоприятных погодных условий, проведение мероприятий по предупреждению и уничтожению вредителей, болезней растений и сорняков с использованием химических и биологических средств; проведение семинаров, обучение специалистов в сфере растениеводства (в т.ч. защиты растений и семеноводства), а также обучение работодателей и работников по вопросам охраны труда и др.",Брянская область,Брянский район,Рук.: Фролов Александр Алексеевич,rsc32@mail.ru,,"(4832) 92-22-95, 41-07-37, (4832) 41-07-37, (4832) 41-07-37, (48354) 9-13-93, (48341) 2-15-01, (48340) 2-14-26, (48332) 9-13-82, (48334) 3-16-61, (48335) 2-03-34, (48347) 2-18-84, (48336) 4-46-27, (48355) 9-11-69, (48346) 9-18-53, (48342) 2-20-02, (48343) 3-08-17, (48349) 2-16-53, (48356) 9-77-17, (48348) 2-23-91, (48353) 2-18-41, (48330) 2-15-89, (48352) 2-23-56, (48351) 2-29-66","241520, п. Супонево, Шосейная, 11"
«Молочные Реки» ООО,"производство молока, молочной продукции",Брянская область,Брянский район,Ген. дир.: Виденин Антон Валерьевич,molreki32@mail.ru,,"(4832) 30-80-65, (4832) 36-08-88","241521, д. Добрунь, Деснянская, 311"
"«АгроКомплект» ООО, Брянское представительство","поставка семян, СЗР и удобрений для агропромышленных предприятий и фермерских хозяйств",Брянская область,Брянский район,,bryansk@ooo-ak.ru,,"8-920-221-4774, 8-800-555-1336","241006, г. Брянск, ул. Комарова, 59"
«Технодом» ООО Брянский филиал,"сельхозтехника, запчасти, системы ирригации, большегрузные автомобили",Брянская область,Брянский район,Дир.: Старостин Дмитрий Валерьевич,"bryansk1@technodom.com, office@technodom.com",,"(4832) 30-37-00, 8-910-733-3503","241521, д. Добрунь, Шоссейная, 8"
«Основа» ООО,"зерновые, зернобобовые, масличные; овощи (морковь), картофель",Брянская область,Брянский район,Дир.: Федосеенков Роман Валерьевич,"osnova.bk@gmail.com, info@osnova-apk.ru",,(4832) 72-65-18,"242611, г. Фокино, К. Маркса, 9"
«Автовыбор» ООО / «Спецтехника» ООО,"торговля спецтехникой (скотовозы, птицевозы), авторефрижераторы; тракторы; запчасти",Брянская область,Брянский район,Ген. дир.: Выборнов Евгений Александрович,info@speztechnika.ru,,"(4832) 20-40-40, 8-980-305-0054","241521, д. Добрунь, Шоссейная, 21, оф. 2"
32_Брянский_КФХ 013,пшеница,Брянская область,Брянский район,,89208668696a@gmail.com,,8-920-866-8696,"241514, с. Домашово"
«Брянский завод холодильного оборудования» ООО,"холодильные установки АРКТИКА (для поддержания температуры охлажденного или замороженного груза при транспортировке); холодильные шкафы, холодильные витрины, компрессорно-конденсаторные блоки, воздухоохладители",Брянская область,Брянский район,Ген. дир.: Галаган Сергей Сергеевич,info@bzho.ru,https://www.bzho.ru/,(4832) 77-00-19,"241520, с. Супонево, Шоссейна, 44-ж, оф. 3"
"«Сельскохозяйственная техника» ЗАО, Брянский филиал",сельхозтехника,Брянская область,Брянский район,,,,(4832) 59-62-80,"241520, п. Супонево, Шоссейная, 22 А / 4"
«Тепличный комбинат Журиничи» ООО,"овощи (закрытый грунт), бахчевые культуры; плодовые деревья и кустарники",Брянская область,Брянский район,,"info@rostgroup.ru, info@ghgt.ru",,(4832) 60-77-59,"241540, с. Журиничи, Лесная, 22"
«Молпро» ООО,"производство молока, молочной продукции",Брянская область,Брянский район,Ген. дир.: Ромашов Алексей Николаевич,info@ranital.ru,,8-915-351-5664,"242524, п. Мичуринский, Магистральная, 19, стр. 6, оф. 9"
«Трейдинг Деталь» ООО,самоходная прицепная сельхозтехника,Брянская область,Брянский район,Ген. дир.: Лепешко Юрий Владимирович,"parts@trading-detal.com, info@trading-detal.com, info@trading-detal.com",https://trading-detal.ru/,"8-800-505-65-95, 8-915-535-7704","241521, д. Добрунь, Шоссейная, 21, оф. 5"
«Агроинвестор» ООО,"продажа запчастей: к МТЗ, почвообрабатывающей технике; резинотехника, рукава высокого давления, турбокомпрессоры",Брянская область,Брянский район,Ген. дир.: Грипекин Андрей Георгиевич,asp305060@yandex.ru,,(4832) 30-50-60,"241520, с. Супонево, Шоссейная, 13, оф. 1"
«Картофельный Альянс» ООО,"СЗР, микроудобрения; семена полевых культур; техника и запчасти (Grimme)",Брянская область,Брянский район,Дир.: Улитенко Владимир Николаевич,manager@k-alliance.ru,https://k-alliance.ru/,"8-930-725-2001, 8-920-833-9909, 8-800-350-1277, 8-930-730-0737","243253, с. Меленск, Северная, 1 Д"
32_Брянский_КФХ 009,ягодники (малина),Брянская область,Брянский район,,,,8-919-193-3333,"241000, г. Брянск"
«Агрофирма «Культура» ООО,"пшеница, овощи (огурцы, помидоры); КРС (молочный)",Брянская область,Брянский район,Ген. дир.: Туркова Оксана Евгеньевна,spk-kultura@mail.ru,,"(4832) 31-87-00, 31-87-03","241521, д. Добрунь, Парковая, 9 А"
"«Сингента» ООО, ОП в г. Брянск","семена, СЗР, удобрения",Брянская область,Брянский район,,,https://www.syngenta.ru/,"8-800-200-8282, 8-980-330-5834","241520 с. Супонево, Фрунзе, 83 А"
«Защита Растений» ООО,"оптовая торговля микроудобрениями, СЗР",Брянская область,Брянский район,Дир.: Камков Сергей Павлович,,,8-910-336-7783,"241520, с. Супонево, Шоссейная, 11"
«Гермес» ООО,"нефтепродукты (масла, смазки, смазочно-охлаждающие жидкости, ГСМ)",Брянская область,Брянский район,Дир.: Сидоров Павел Яковлевич,germes32@list.ru,https://germes-bryansk.ru/,8-910-331-1315,"241520, с. Супонево, Комсомольская, 112, к. 1, помещ. 12"
«Брянскагротех» ООО,"энергонасыщенные трактора, зерноуборочные комбайны, самоходные опрыскиватели, посевная и почвообрабатывающая техника; запчасти, сервисное обслуживание",Брянская область,Брянский район,Ген. дир.: Ивакина Ольга Викторовна,,https://bryanskagrotex.ru/,"(4832) 59-06-24, 8-980-300-3641, (4832) 8-980-300-1575","241525, с. Глинищево, ул. П.М. Яшенина, 45, оф. 5"
