Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
34_Быковский_КФХ 046,"зерновые, технические",Волгоградская область,Быковский район,,,,8-937-715-3145,"404061, р.п. Быково"
34_Быковский_КФХ 047,"зерновые; овощи (помидоры, капуста, баклажаны), картофель; КРС",Волгоградская область,Быковский район,,,,8-927-254-5721,"404080, п. Отд. №3 совхоза Степной (Трубный)"
34_Быковский_КФХ 048,"рожь, ячмень; бахчевые культуры; КРС; грузоперевозки с/х продукции",Волгоградская область,Быковский район,,,,8-906-401-1591,"404070, Быковский р-н, п. Приморск"
34_Быковский_КФХ 049,зерновые; бахчевые культуры,Волгоградская область,Быковский район,,,,8-927-068-5104,"404070, Быковский р-н, п. Приморск"
34_Быковский_КФХ 050,"капуста, бахчевые",Волгоградская область,Быковский район,,,,8-905-336-8272,"404070, Быковский р-н, п. Приморск"
«Амарантагро Волгоград» ООО,"зерновые, зернобобовые",Волгоградская область,Быковский район,Дир.: Рогоза Дмитрий Иванович,,,8-900-181-1123,"404062, р.п. Быково, Заготзерно, 17, каб. 5"
«Быково-Агротранс» ООО,зерновые,Волгоградская область,Быковский район,Дир.: Лихолетов Александр Иванович,bukovo-agrotrans@mail.ru,,(84495) 3-14-85,"404062, р.п. Быково, Воровского, 5"
«Быковская бахчевая селекционная опытная станция» ФГБНУ ВНИИ овощеводства,"выращивание и реализация бахчевых культур, научная деятельность в области бахчеводства, семена бахчевых культур; селекция и семеноводчество бахчевых культур",Волгоградская область,Быковский район,Рук.: Воевода Елена Александровна,bbsos34@yandex.ru,http://www.bbsos.ru/,"(84495) 3-55-88, 3-55-81","404067, Быковский район, пос. Зеленый, Сиреневая, 11"
«Волгоград-Эдильбай» ООО (селекционно-генетический центр),племенное овцеводство (эдильбаевская порода),Волгоградская область,Быковский район,Дир.: Гишларкаев Ерагый Исаевич,yaragi61@mail.ru,,8-904-437-5050,"404064, Быковский р-н, с. Садовое, Садовая, 2"
"«ВолжНИИГиМ» ФГБНУ, ф-л «Заволжская ОМС»",зерновые,Волгоградская область,Быковский район,Дир.: Кайбалиев Нурлан Юрьевич,,,8-927-151-0001,"404066, с. Кислово, Песчаная, 25"
«Заволжье» ООО / «Светлое» ООО (Быковский р-н),"пшеница, рожь, ячмень; арбузы; производство пшеничной, ржаной муки, отрубей",Волгоградская область,Быковский район,Дир.: Великий Петр Григорьевич,,,"(84495) 3-11-92, 3-17-71","404062, Быковский р-н, р.п. Быково, Мира, 125"
«Октябрьская революция» ООО,"пшеница, ячмень, рожь, просо; арбузы; овцы",Волгоградская область,Быковский район,Дир.: Масленников Михаил Алексеевич,,,8-904-771-5972,"404078, Быковский р-н, с. Верхний Балыклей"
«Приморское хлебоприемное предприятие» ОАО,"мукомольное производство; прием, хранение, подработка зерна",Волгоградская область,Быковский район,Ген. дир.: Беляев Иван Александрович,primorskoehpp@mail.ru,,"(84495) 3-36-92, 8-904-778-2573","404070, Быковский р-н, р.п. Приморск, Промышленная, 16"
«Сельское достояние» ООО,"зерновые, технические, зернобобовые",Волгоградская область,Быковский район,Дир.: Белов Юрий Александрович,,,8-902-363-6446,"400119, г. Волгоград, Авиаторская, 1 Б"
«Семена» ЗАО,"пшеница, ячмень, рожь; семена зерновых культур",Волгоградская область,Быковский район,Дир.: Рогоза Иван Иванович,zao-semena@yandex.ru,,"(84495) 3-24-55, 3-15-04, 3-10-69","404060, Быковский р-н, р.п. Быково, Заготзерно, 17"
34_Быковский_КФХ 006,"КРС, кормопроизводство",Волгоградская область,Быковский район,,,,8-927-507-7484,"404062, р.п. Быково"
34_Быковский_КФХ 008,"выращивание под заказ любых овощных и бахчевых культур; овощи (помидоры, огурцы, капуста, баклажаны, перец, лук), картофель; арбузы, тыквы, дыни; семена овощных культур",Волгоградская область,Быковский район,,,,8-937-550-4034,"404078, Быковский р-н, с. Верхний Балыклей"
34_Быковский_КФХ 048,"рожь, ячмень; бахчевые культуры; КРС; грузоперевозки с/х продукции",Волгоградская область,Быковский район,,,,8-906-401-1591,"404070, Быковский р-н, п. Приморск"
«Быковская бахчевая селекционная опытная станция» ФГБНУ ВНИИ овощеводства,"выращивание и реализация бахчевых культур, научная деятельность в области бахчеводства, семена бахчевых культур; селекция и семеноводчество бахчевых культур",Волгоградская область,Быковский район,Рук.: Воевода Елена Александровна,bbsos34@yandex.ru,http://www.bbsos.ru/,"(84495) 3-55-88, 3-55-81","404067, Быковский район, пос. Зеленый, Сиреневая, 11"
«Быковское хлебоприемное предприятие» АО,"прием, хранение, подработка зерна",Волгоградская область,Быковский район,Ген. дир.: Рогоза Иван Иванович,zao-semena@yandex.ru,,(84495) 3-15-04,"403060, Быковский р-н, р.п. Быково, Заготзерно, 17"
«Заволжье» ООО / «Светлое» ООО (Быковский р-н),"пшеница, рожь, ячмень; арбузы; производство пшеничной, ржаной муки, отрубей",Волгоградская область,Быковский район,Дир.: Великий Петр Григорьевич,,,"(84495) 3-11-92, 3-17-71","404062, Быковский р-н, р.п. Быково, Мира, 125"
«Приморское хлебоприемное предприятие» ОАО,"мукомольное производство; прием, хранение, подработка зерна",Волгоградская область,Быковский район,Ген. дир.: Беляев Иван Александрович,primorskoehpp@mail.ru,,"(84495) 3-36-92, 8-904-778-2573","404070, Быковский р-н, р.п. Приморск, Промышленная, 16"
«Семена» ЗАО,"пшеница, ячмень, рожь; семена зерновых культур",Волгоградская область,Быковский район,Дир.: Рогоза Иван Иванович,zao-semena@yandex.ru,,"(84495) 3-24-55, 3-15-04, 3-10-69","404060, Быковский р-н, р.п. Быково, Заготзерно, 17"
Комитет сельского хозяйства Волгоградской области (Облкомсельхоз Волгоградской области),,Волгоградская область,Волгоград г.,Председатель комитета: Долгов Максим Андреевич,"mcx@volganet.ru, E_Tarasova@volganet.ru, AP_Zaycev@volganet.ru, R_Baubel@volganet.ru, A, _Semenenko@volganet.ru, M_Aparin@volganet.ru, L_Pavlyukova@volganet.ru, O_Borodina@volganet.ru, L_Bessonova@volganet.ru, S_Karpushin@volganet.ru, B_Polyhin@volganet.ru, Y_Boeva@volganet.ru, S_Berezka@volganet.ru, A_Parshin@volganet.ru, O_Radchenko@volganet.ru, M_Nosov@volganet.ru, E_Smirnova@volganet.ru, T_Filina@volganet.ru, E_Kulachenko@voldanet.ru, AN_Scherbakov@voldanet.ru, L_Sitina@volganet.ru, V_Volodin@volganet.ru, M_Konyashin@volganet.ru",http://www.ksh.volgograd.ru/,"(8442) 30-95-51, 30-96-65, (8442) 30-95-78, (8442) 30-96-46, (8442) 30-98-36, (8442) 30-95-55, (8442) 30-96-48, (8442) 30-96-08, (8442) 30-96-11, (8442) 30-96-56, (8442) 30-97-31, (8442) 30-95-60, (8442) 30-95-98, (8442) 30-95-96, (8442) 30-96-62, (8442) 30-96-58, (8442) 30-96-65, (8442) 30-97-59, (8442) 30-96-25, (8442) 30-96-07, (8442) 30-95-79, (8442) 30-97-92, (8442) 30-98-48, (8442) 30-96-26, (8442) 30-96-06, (8442) 30-96-61","400005, г. Волгоград, Коммунистическая, 19"
«Агромельпродукт» ООО,"услуги по размолу зерна, производство и реализация муки, макаронных изделий",Волгоградская область,Волгоград г.,Ген. дир.: Арапиев Алихан Магометович,"a, gromelproduct@yandex.ru",https://agromelproduct.ru/,8-937-060-2424,"400019, г. Волгоград, Слесарная,103"
«Артам Агро» ООО,зерновые,Волгоградская область,Волгоград г.,Дир.: Пивандзадех Амирхассан Мохаммад,artam-agro@mail.ru,,8-961-057-3853,"400050, г. Волгоград, им. Рокоссовского, 62, оф. 19-16"
«Волгогелиопром» ООО,"зерновые, технические",Волгоградская область,Волгоград г.,Ген. дир.: Кочубей Александр Алексеевич,info@geliopax.ru,,"(8442) 93-03-56, 97-27-00","400120, г. Волгоград, Нежинская, 30 А"
«Волгоградская Агропромышленная компания» ООО,"зерновые, технические, зернобобовые; картофель",Волгоградская область,Волгоград г.,Врио дир.: Гнидин Алексей Анатольевич,info@vapc.ru,,(8442) 97-95-00,"400050, г. Волгоград, им. Рокоссовского, 62"
Волгоградский горчичный завод «Родос»,"переработка маслосемян горчицы, производство горчицы, горчичного порошка, горчичного масла, натурального горчичного эфирного масла",Волгоградская область,Волгоград г.,Дир.: Федорова Валентина Михайловна,vgz@gorlinka.ru,https://www.gorlinka.ru/,"(8442) 35-03-19, (8442) 35-03-16, (8442) 20-11-74","400038, г. Волгоград, Портовская, 16"
«Волжская мельница» ООО,мукомольное производство,Волгоградская область,Волгоград г.,Дир.: Дробышев Алексей Викторович,,,(8443) 31-83-61,"404130, г. Волжский, Горького,100 А"
«Волжский молочный комбинат» ООО,молочная продукция,Волгоградская область,Волгоград г.,Дир.: Балдин Игорь Викторович,vmk@bk.ru,,"(8443) 41-22-41, (8443) 41-22-00","404122, г. Волжский, Кирова, 9 А"
«Городищенская птицефабрика» ООО,"яйцо куриное, живая птица (сезонно)",Волгоградская область,Волгоград г.,Дир.: Алексеев Артем Анатольевич,gor-ptica@yandex.ru,https://www.gpf34.ru/,8-937-090-2404,"400127, г. Волгоград, Менделеева, 236"
«Дары Заволжья» Агрофирма ООО,"овощи (выращивание, реализация)",Волгоградская область,Волгоград г.,Дир.: Остроушко Юрий Владимирович,,,"(8442) 54-91-40, (8442) 54-31-87","400117, г. Волгоград, бульвар 30-летия Победы, 31"
«Заря» ООО,КРС (мясной),Волгоградская область,Волгоград г.,Дир.: Кришталев Андрей Григорьевич,zarya34@mail.ru,,"8-937-732-5232, 8-937-718-8056","400001, г. Волгоград, Рабоче-Крестьянская, 9, оф. 413"
«Заря» СП АО,овощи (закрытый грунт),Волгоградская область,Волгоград г.,Ген. дир.: Мишин Василий Васильевич,gup-zarya@mail.ru,,"(8442) 61-85-76, 61-84-70","400022, г. Волгоград, им. Куйбышева, 76"
«Исток» ООО (Волгоград г.),закупка и выращивание КРС,Волгоградская область,Волгоград г.,Дир.: Уртаев Артур Исламбекович,"agromyaso@mail.ru, istok.agro@mail.ru",,8-987-655-6146,"400048, г. Волгоград, Маршала Жукова, 116 Б, оф. 310"
